#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    2.560280e+00    2.560280e+00    0.000000e+00
           2    2.603587e+00    2.581933e+00    1.531122e-02
           3    2.506661e+00    2.556843e+00    2.288858e-02
           4    2.538379e+00    2.552227e+00    1.762575e-02
           5    2.630696e+00    2.567921e+00    1.989635e-02
           6    2.577352e+00    2.569492e+00    1.664227e-02
           7    2.686621e+00    2.586225e+00    2.105873e-02
           8    2.616141e+00    2.589965e+00    1.875548e-02
           9    2.626880e+00    2.594066e+00    1.711417e-02
          10    2.542955e+00    2.588955e+00    1.614795e-02
          11    2.512352e+00    2.581991e+00    1.611176e-02
          12    2.597925e+00    2.583319e+00    1.482373e-02
          13    2.476848e+00    2.575129e+00    1.578462e-02
          14    2.601219e+00    2.576993e+00    1.476674e-02
          15    2.545227e+00    2.574875e+00    1.393332e-02
          16    2.564949e+00    2.574255e+00    1.307629e-02
          17    2.654835e+00    2.578995e+00    1.313814e-02
          18    2.635872e+00    2.582154e+00    1.278258e-02
          19    2.449392e+00    2.575167e+00    1.388895e-02
          20    2.563400e+00    2.574579e+00    1.320696e-02
          21    2.538248e+00    2.572849e+00    1.269086e-02
          22    2.619984e+00    2.574991e+00    1.229353e-02
          23    2.612373e+00    2.576616e+00    1.186598e-02
          24    2.549296e+00    2.575478e+00    1.142604e-02
          25    2.682691e+00    2.579767e+00    1.174626e-02
          26    2.591845e+00    2.580231e+00    1.130366e-02
          27    2.596632e+00    2.580839e+00    1.090132e-02
          28    2.709931e+00    2.585449e+00    1.144547e-02
          29    2.540277e+00    2.583891e+00    1.115628e-02
          30    2.515973e+00    2.581627e+00    1.101172e-02
