#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    8.761040e-01    8.761040e-01    0.000000e+00
           2    8.913072e-01    8.837056e-01    5.375143e-03
           3    9.053776e-01    8.909296e-01    6.901576e-03
           4    8.752480e-01    8.870092e-01    6.190316e-03
           5    8.933776e-01    8.882829e-01    5.081596e-03
           6    8.799712e-01    8.868976e-01    4.419450e-03
           7    9.236464e-01    8.921474e-01    6.162236e-03
           8    8.811184e-01    8.907688e-01    5.544027e-03
           9    8.824672e-01    8.898464e-01    5.004169e-03
          10    9.054224e-01    8.914040e-01    4.739967e-03
          11    9.186880e-01    8.938844e-01    4.915376e-03
          12    9.070832e-01    8.949843e-01    4.627187e-03
          13    8.948464e-01    8.949737e-01    4.271261e-03
          14    8.859696e-01    8.943305e-01    4.014300e-03
          15    8.997328e-01    8.946907e-01    3.762802e-03
          16    9.024704e-01    8.951769e-01    3.558904e-03
          17    9.049472e-01    8.957516e-01    3.395645e-03
          18    8.870672e-01    8.952692e-01    3.241092e-03
          19    8.851504e-01    8.947366e-01    3.113956e-03
          20    8.936448e-01    8.946820e-01    2.958737e-03
          21    8.824496e-01    8.940995e-01    2.874611e-03
          22    8.644960e-01    8.927539e-01    3.042634e-03
          23    9.107168e-01    8.935349e-01    3.008911e-03
          24    8.902912e-01    8.933997e-01    2.886573e-03
          25    8.878912e-01    8.931794e-01    2.779507e-03
          26    9.083712e-01    8.937637e-01    2.733328e-03
          27    8.958816e-01    8.938421e-01    2.633219e-03
          28    9.055856e-01    8.942615e-01    2.572360e-03
          29    9.009712e-01    8.944929e-01    2.494041e-03
          30    9.250368e-01    8.955110e-01    2.610461e-03
