#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.673800e-02    1.673800e-02    0.000000e+00
           2    2.048600e-02    1.861200e-02    1.325118e-03
           3    1.851000e-02    1.857800e-02    8.838482e-04
           4    1.631600e-02    1.801250e-02    8.241727e-04
           5    1.126200e-02    1.666240e-02    1.375843e-03
           6    1.180400e-02    1.585267e-02    1.364160e-03
           7    1.932600e-02    1.634886e-02    1.256284e-03
           8    2.148200e-02    1.699050e-02    1.252433e-03
           9    2.136400e-02    1.747644e-02    1.203862e-03
          10    2.217000e-02    1.794580e-02    1.171403e-03
          11    1.350000e-02    1.754164e-02    1.132491e-03
          12    1.841800e-02    1.761467e-02    1.040469e-03
          13    2.496200e-02    1.817985e-02    1.103307e-03
          14    2.131400e-02    1.840371e-02    1.046966e-03
          15    1.294600e-02    1.803987e-02    1.038468e-03
          16    2.176000e-02    1.827237e-02    9.992539e-04
          17    1.812400e-02    1.826365e-02    9.405123e-04
          18    1.993800e-02    1.835667e-02    8.928498e-04
          19    1.162600e-02    1.800242e-02    9.134333e-04
          20    1.293600e-02    1.774910e-02    9.022047e-04
          21    1.249400e-02    1.749886e-02    8.932733e-04
          22    1.096800e-02    1.720200e-02    9.006468e-04
          23    2.223200e-02    1.742070e-02    8.876431e-04
          24    2.057600e-02    1.755217e-02    8.603392e-04
          25    1.782800e-02    1.756320e-02    8.259963e-04
          26    1.026400e-02    1.728246e-02    8.405829e-04
          27    2.136800e-02    1.743378e-02    8.229570e-04
          28    1.859400e-02    1.747521e-02    7.946082e-04
          29    1.346200e-02    1.733683e-02    7.791653e-04
          30    2.086000e-02    1.745427e-02    7.619921e-04
