#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.231964e-04    4.231964e-04    0.000000e+00
           2    0.000000e+00    2.115982e-04    1.496225e-04
           3    4.094362e-05    1.547133e-04    1.100318e-04
           4    0.000000e+00    1.160350e-04    8.906286e-05
           5    0.000000e+00    9.282801e-05    7.421223e-05
           6    0.000000e+00    7.735667e-05    6.343572e-05
           7    0.000000e+00    6.630572e-05    5.532768e-05
           8    0.000000e+00    5.801750e-05    4.902859e-05
           9    0.000000e+00    5.157111e-05    4.400272e-05
          10    0.000000e+00    4.641400e-05    3.990351e-05
          11    0.000000e+00    4.219455e-05    3.649832e-05
          12    0.000000e+00    3.867834e-05    3.362574e-05
          13    0.000000e+00    3.570308e-05    3.117049e-05
          14    0.000000e+00    3.315286e-05    2.904817e-05
          15    1.023898e-05    3.162527e-05    2.715176e-05
          16    0.000000e+00    2.964869e-05    2.552662e-05
          17    0.000000e+00    2.790465e-05    2.408456e-05
          18    0.000000e+00    2.635439e-05    2.279636e-05
          19    0.000000e+00    2.496732e-05    2.163871e-05
          20    0.000000e+00    2.371895e-05    2.059276e-05
          21    0.000000e+00    2.258948e-05    1.964310e-05
          22    0.000000e+00    2.156268e-05    1.877705e-05
          23    0.000000e+00    2.062517e-05    1.798404e-05
          24    0.000000e+00    1.976579e-05    1.725523e-05
          25    0.000000e+00    1.897516e-05    1.658312e-05
