#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    1.111875e+00    1.111875e+00    0.000000e+00
           2    1.102352e+00    1.107114e+00    3.366833e-03
           3    1.116615e+00    1.110281e+00    3.424185e-03
           4    1.123332e+00    1.113544e+00    3.818247e-03
           5    1.112283e+00    1.113291e+00    3.062906e-03
           6    1.094535e+00    1.110165e+00    3.828659e-03
           7    1.109473e+00    1.110067e+00    3.282984e-03
           8    1.111999e+00    1.110308e+00    2.881488e-03
           9    1.079173e+00    1.106849e+00    4.147137e-03
          10    1.107910e+00    1.106955e+00    3.733782e-03
          11    1.114441e+00    1.107635e+00    3.455813e-03
          12    1.111640e+00    1.107969e+00    3.183903e-03
          13    1.102772e+00    1.107569e+00    2.963976e-03
          14    1.091359e+00    1.106411e+00    2.969825e-03
          15    1.111254e+00    1.106734e+00    2.789329e-03
          16    1.096668e+00    1.106105e+00    2.685007e-03
          17    1.080510e+00    1.104600e+00    2.918819e-03
          18    1.098961e+00    1.104286e+00    2.773418e-03
          19    1.112308e+00    1.104709e+00    2.659391e-03
          20    1.082049e+00    1.103576e+00    2.757218e-03
          21    1.111870e+00    1.103971e+00    2.654059e-03
          22    1.098721e+00    1.103732e+00    2.544125e-03
          23    1.091929e+00    1.103219e+00    2.484725e-03
          24    1.114156e+00    1.103674e+00    2.422628e-03
          25    1.090485e+00    1.103147e+00    2.382480e-03
          26    1.090883e+00    1.102675e+00    2.337075e-03
          27    1.105292e+00    1.102772e+00    2.252526e-03
          28    1.092711e+00    1.102413e+00    2.200550e-03
          29    1.102156e+00    1.102404e+00    2.124687e-03
          30    1.080283e+00    1.101667e+00    2.178060e-03
          31    1.097660e+00    1.101537e+00    2.111631e-03
          32    1.112047e+00    1.101866e+00    2.071025e-03
          33    1.094152e+00    1.101632e+00    2.021414e-03
          34    1.106805e+00    1.101784e+00    1.967679e-03
          35    1.088335e+00    1.101400e+00    1.948619e-03
          36    1.110580e+00    1.101655e+00    1.911105e-03
          37    1.111483e+00    1.101921e+00    1.877823e-03
          38    1.112970e+00    1.102211e+00    1.850782e-03
          39    1.115765e+00    1.102559e+00    1.835663e-03
          40    1.108314e+00    1.102703e+00    1.795402e-03
          41    1.071419e+00    1.101940e+00    1.906866e-03
          42    1.100373e+00    1.101902e+00    1.861829e-03
          43    1.093741e+00    1.101713e+00    1.828180e-03
          44    1.099738e+00    1.101668e+00    1.787181e-03
          45    1.097841e+00    1.101583e+00    1.749488e-03
          46    1.094879e+00    1.101437e+00    1.717516e-03
          47    1.091465e+00    1.101225e+00    1.694028e-03
          48    1.129505e+00    1.101814e+00    1.758207e-03
          49    1.095381e+00    1.101683e+00    1.727221e-03
          50    1.076467e+00    1.101178e+00    1.764766e-03
          51    1.102448e+00    1.101203e+00    1.730338e-03
          52    1.090247e+00    1.100993e+00    1.709842e-03
          53    1.098191e+00    1.100940e+00    1.678398e-03
          54    1.107963e+00    1.101070e+00    1.652348e-03
          55    1.113387e+00    1.101294e+00    1.637411e-03
          56    1.103304e+00    1.101330e+00    1.608565e-03
          57    1.106201e+00    1.101415e+00    1.582613e-03
          58    1.087394e+00    1.101173e+00    1.573681e-03
          59    1.098198e+00    1.101123e+00    1.547816e-03
          60    1.105174e+00    1.101190e+00    1.523491e-03
          61    1.105795e+00    1.101266e+00    1.500384e-03
          62    1.127039e+00    1.101682e+00    1.532689e-03
          63    1.098942e+00    1.101638e+00    1.508977e-03
          64    1.094749e+00    1.101530e+00    1.489234e-03
          65    1.089436e+00    1.101344e+00    1.477901e-03
          66    1.095369e+00    1.101254e+00    1.458279e-03
          67    1.086368e+00    1.101032e+00    1.453339e-03
          68    1.107416e+00    1.101126e+00    1.434995e-03
          69    1.099710e+00    1.101105e+00    1.414345e-03
          70    1.074496e+00    1.100725e+00    1.444320e-03
          71    1.081020e+00    1.100447e+00    1.450396e-03
          72    1.081837e+00    1.100189e+00    1.453100e-03
          73    1.110205e+00    1.100326e+00    1.439658e-03
          74    1.072003e+00    1.099943e+00    1.470201e-03
          75    1.100265e+00    1.099948e+00    1.450604e-03
          76    1.102684e+00    1.099984e+00    1.431964e-03
          77    1.088808e+00    1.099839e+00    1.420704e-03
          78    1.096727e+00    1.099799e+00    1.403050e-03
          79    1.095400e+00    1.099743e+00    1.386394e-03
          80    1.099356e+00    1.099738e+00    1.369072e-03
          81    1.119661e+00    1.099984e+00    1.374087e-03
          82    1.118352e+00    1.100208e+00    1.375466e-03
          83    1.114961e+00    1.100386e+00    1.370330e-03
          84    1.093469e+00    1.100303e+00    1.356489e-03
          85    1.113635e+00    1.100460e+00    1.349566e-03
          86    1.108646e+00    1.100555e+00    1.337226e-03
          87    1.094252e+00    1.100483e+00    1.323817e-03
          88    1.093975e+00    1.100409e+00    1.310838e-03
          89    1.095048e+00    1.100349e+00    1.297492e-03
          90    1.091965e+00    1.100256e+00    1.286415e-03
          91    1.106972e+00    1.100329e+00    1.274394e-03
          92    1.087121e+00    1.100186e+00    1.268604e-03
          93    1.073759e+00    1.099902e+00    1.286395e-03
          94    1.104581e+00    1.099952e+00    1.273672e-03
          95    1.112129e+00    1.100080e+00    1.266699e-03
          96    1.107409e+00    1.100156e+00    1.255803e-03
          97    1.110902e+00    1.100267e+00    1.247734e-03
          98    1.074645e+00    1.100005e+00    1.262097e-03
          99    1.111888e+00    1.100125e+00    1.255043e-03
         100    1.102652e+00    1.100151e+00    1.242747e-03
