#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -5.036885e+00   -5.036885e+00    0.000000e+00
           2   -5.022211e+00   -5.029548e+00    5.187940e-03
           3   -5.043456e+00   -5.034184e+00    5.127428e-03
           4   -5.054471e+00   -5.039256e+00    5.837909e-03
           5   -5.036745e+00   -5.038754e+00    4.691876e-03
           6   -5.011929e+00   -5.034283e+00    5.651847e-03
           7   -5.033213e+00   -5.034130e+00    4.846507e-03
           8   -5.036714e+00   -5.034453e+00    4.251444e-03
           9   -4.985559e+00   -5.029020e+00    6.365201e-03
          10   -5.029141e+00   -5.029032e+00    5.728692e-03
          11   -5.038575e+00   -5.029900e+00    5.273169e-03
          12   -5.036224e+00   -5.030427e+00    4.860006e-03
          13   -5.023293e+00   -5.029878e+00    4.517036e-03
          14   -5.005619e+00   -5.028145e+00    4.514547e-03
          15   -5.035432e+00   -5.028631e+00    4.239635e-03
          16   -5.013485e+00   -5.027685e+00    4.078975e-03
          17   -4.989263e+00   -5.025424e+00    4.421053e-03
          18   -5.015543e+00   -5.024875e+00    4.209385e-03
          19   -5.037442e+00   -5.025537e+00    4.039468e-03
          20   -4.991686e+00   -5.023844e+00    4.177070e-03
          21   -5.035190e+00   -5.024385e+00    4.012949e-03
          22   -5.014989e+00   -5.023958e+00    3.853202e-03
          23   -5.006071e+00   -5.023180e+00    3.763334e-03
          24   -5.039814e+00   -5.023873e+00    3.669794e-03
          25   -5.003817e+00   -5.023071e+00    3.609620e-03
          26   -5.003917e+00   -5.022334e+00    3.545163e-03
          27   -5.026058e+00   -5.022472e+00    3.416543e-03
          28   -5.010037e+00   -5.022028e+00    3.323262e-03
          29   -5.020947e+00   -5.021991e+00    3.208876e-03
          30   -4.987599e+00   -5.020844e+00    3.300345e-03
          31   -5.016273e+00   -5.020697e+00    3.197174e-03
          32   -5.036885e+00   -5.021203e+00    3.137030e-03
          33   -5.010101e+00   -5.020866e+00    3.059954e-03
          34   -5.030323e+00   -5.021144e+00    2.982569e-03
          35   -4.999858e+00   -5.020536e+00    2.958713e-03
          36   -5.033950e+00   -5.020909e+00    2.899894e-03
          37   -5.036188e+00   -5.021322e+00    2.850769e-03
          38   -5.036766e+00   -5.021728e+00    2.804571e-03
          39   -5.042496e+00   -5.022261e+00    2.782755e-03
          40   -5.033303e+00   -5.022537e+00    2.726844e-03
          41   -4.975086e+00   -5.021379e+00    2.895537e-03
          42   -5.019618e+00   -5.021337e+00    2.826899e-03
          43   -5.009506e+00   -5.021062e+00    2.774515e-03
          44   -5.018434e+00   -5.021003e+00    2.712100e-03
          45   -5.016923e+00   -5.020912e+00    2.653346e-03
          46   -5.010834e+00   -5.020693e+00    2.604693e-03
          47   -5.004113e+00   -5.020340e+00    2.573051e-03
          48   -5.061910e+00   -5.021206e+00    2.661206e-03
          49   -5.009100e+00   -5.020959e+00    2.618339e-03
          50   -4.981277e+00   -5.020165e+00    2.683555e-03
          51   -5.020293e+00   -5.020168e+00    2.630937e-03
          52   -5.004449e+00   -5.019866e+00    2.597651e-03
          53   -5.016745e+00   -5.019807e+00    2.549306e-03
          54   -5.030086e+00   -5.019997e+00    2.509193e-03
          55   -5.037264e+00   -5.020311e+00    2.483133e-03
          56   -5.022709e+00   -5.020354e+00    2.439161e-03
          57   -5.028075e+00   -5.020489e+00    2.400126e-03
          58   -4.998651e+00   -5.020113e+00    2.388095e-03
          59   -5.015825e+00   -5.020040e+00    2.348724e-03
          60   -5.025337e+00   -5.020128e+00    2.311237e-03
          61   -5.025634e+00   -5.020219e+00    2.275110e-03
          62   -5.059177e+00   -5.020847e+00    2.323567e-03
          63   -5.015899e+00   -5.020768e+00    2.288012e-03
          64   -5.008751e+00   -5.020581e+00    2.259954e-03
          65   -5.001652e+00   -5.020289e+00    2.243868e-03
          66   -5.010933e+00   -5.020148e+00    2.214344e-03
          67   -4.996452e+00   -5.019794e+00    2.209358e-03
          68   -5.029747e+00   -5.019940e+00    2.181710e-03
          69   -5.018832e+00   -5.019924e+00    2.150150e-03
          70   -4.978891e+00   -5.019338e+00    2.197886e-03
          71   -4.987510e+00   -5.018890e+00    2.212175e-03
          72   -4.990002e+00   -5.018489e+00    2.217536e-03
          73   -5.033552e+00   -5.018695e+00    2.196739e-03
          74   -4.976386e+00   -5.018123e+00    2.240221e-03
          75   -5.018275e+00   -5.018125e+00    2.210352e-03
          76   -5.020487e+00   -5.018156e+00    2.181487e-03
          77   -5.001262e+00   -5.017937e+00    2.164162e-03
          78   -5.013966e+00   -5.017886e+00    2.137015e-03
          79   -5.011708e+00   -5.017808e+00    2.111394e-03
          80   -5.018619e+00   -5.017818e+00    2.085026e-03
          81   -5.047043e+00   -5.018179e+00    2.090269e-03
          82   -5.048079e+00   -5.018543e+00    2.096341e-03
          83   -5.039612e+00   -5.018797e+00    2.086395e-03
          84   -5.006980e+00   -5.018657e+00    2.066294e-03
          85   -5.039548e+00   -5.018902e+00    2.056550e-03
          86   -5.031572e+00   -5.019050e+00    2.037907e-03
          87   -5.009616e+00   -5.018941e+00    2.017365e-03
          88   -5.008599e+00   -5.018824e+00    1.997861e-03
          89   -5.009531e+00   -5.018719e+00    1.978140e-03
          90   -5.005792e+00   -5.018576e+00    1.961369e-03
          91   -5.029527e+00   -5.018696e+00    1.943504e-03
          92   -4.998001e+00   -5.018471e+00    1.935352e-03
          93   -4.977168e+00   -5.018027e+00    1.964838e-03
          94   -5.024666e+00   -5.018098e+00    1.945205e-03
          95   -5.036944e+00   -5.018296e+00    1.934818e-03
          96   -5.030355e+00   -5.018422e+00    1.918737e-03
          97   -5.035945e+00   -5.018602e+00    1.907442e-03
          98   -4.980704e+00   -5.018215e+00    1.926782e-03
          99   -5.036641e+00   -5.018402e+00    1.916287e-03
         100   -5.022973e+00   -5.018447e+00    1.897669e-03
