#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    2.142188e+00    2.142188e+00    0.000000e+00
           2    2.216322e+00    2.179255e+00    2.621016e-02
           3    2.055933e+00    2.138148e+00    3.783994e-02
           4    1.989861e+00    2.101076e+00    4.285040e-02
           5    2.035282e+00    2.087917e+00    3.624446e-02
           6    2.141635e+00    2.096870e+00    3.128996e-02
           7    2.100978e+00    2.097457e+00    2.682547e-02
           8    2.188060e+00    2.108782e+00    2.575228e-02
           9    2.404025e+00    2.141587e+00    3.847817e-02
          10    2.334542e+00    2.160883e+00    3.917073e-02
          11    2.117943e+00    2.156979e+00    3.580373e-02
          12    2.122926e+00    2.154141e+00    3.293235e-02
          13    2.188863e+00    2.156812e+00    3.050721e-02
          14    2.233633e+00    2.162299e+00    2.881738e-02
          15    2.080876e+00    2.156871e+00    2.740269e-02
          16    2.274095e+00    2.164198e+00    2.665146e-02
          17    2.305282e+00    2.172497e+00    2.634419e-02
          18    2.202584e+00    2.174168e+00    2.493359e-02
          19    2.137409e+00    2.172234e+00    2.369624e-02
          20    2.422471e+00    2.184745e+00    2.560242e-02
          21    2.076803e+00    2.179605e+00    2.489390e-02
          22    2.163643e+00    2.178880e+00    2.377293e-02
          23    2.270476e+00    2.182862e+00    2.307048e-02
          24    1.981489e+00    2.174472e+00    2.358569e-02
          25    2.201635e+00    2.175558e+00    2.266728e-02
          26    2.299564e+00    2.180328e+00    2.229159e-02
          27    2.115096e+00    2.177912e+00    2.159650e-02
          28    2.137494e+00    2.176468e+00    2.087338e-02
          29    2.172756e+00    2.176340e+00    2.015400e-02
          30    2.402632e+00    2.183883e+00    2.084604e-02
          31    2.191688e+00    2.184135e+00    2.017511e-02
          32    2.072221e+00    2.180638e+00    1.984545e-02
          33    2.164297e+00    2.180143e+00    1.925025e-02
          34    2.103082e+00    2.177876e+00    1.881702e-02
          35    2.272693e+00    2.180585e+00    1.847336e-02
          36    2.025949e+00    2.176290e+00    1.845285e-02
          37    1.969454e+00    2.170699e+00    1.878180e-02
          38    2.014918e+00    2.166600e+00    1.872960e-02
          39    2.052623e+00    2.163677e+00    1.847596e-02
          40    2.176635e+00    2.164001e+00    1.801690e-02
          41    2.352860e+00    2.168608e+00    1.815675e-02
          42    2.033596e+00    2.165393e+00    1.800676e-02
          43    2.198852e+00    2.166171e+00    1.760480e-02
          44    2.138255e+00    2.165537e+00    1.721612e-02
          45    2.094697e+00    2.163963e+00    1.690536e-02
          46    2.315568e+00    2.167258e+00    1.685605e-02
          47    2.206226e+00    2.168087e+00    1.651779e-02
          48    2.012902e+00    2.164854e+00    1.648703e-02
          49    2.201769e+00    2.165608e+00    1.616777e-02
          50    2.299651e+00    2.168289e+00    1.606514e-02
          51    2.177066e+00    2.168461e+00    1.575106e-02
          52    2.281688e+00    2.170638e+00    1.559793e-02
          53    2.118324e+00    2.169651e+00    1.533483e-02
          54    2.277557e+00    2.171649e+00    1.518049e-02
          55    2.198402e+00    2.172136e+00    1.491227e-02
          56    2.053080e+00    2.170010e+00    1.479675e-02
          57    2.023364e+00    2.167437e+00    1.475913e-02
          58    2.230590e+00    2.168526e+00    1.454477e-02
          59    2.147669e+00    2.168172e+00    1.430254e-02
          60    2.130892e+00    2.167551e+00    1.407766e-02
          61    2.103002e+00    2.166493e+00    1.388659e-02
          62    2.064454e+00    2.164847e+00    1.375979e-02
          63    2.238465e+00    2.166016e+00    1.359091e-02
          64    2.165385e+00    2.166006e+00    1.337856e-02
          65    2.190376e+00    2.166381e+00    1.317799e-02
          66    2.192345e+00    2.166774e+00    1.298419e-02
          67    2.301617e+00    2.168787e+00    1.294543e-02
          68    2.133147e+00    2.168263e+00    1.276566e-02
          69    2.146174e+00    2.167942e+00    1.258467e-02
          70    2.227417e+00    2.168792e+00    1.243353e-02
          71    2.291048e+00    2.170514e+00    1.237707e-02
          72    2.378940e+00    2.173409e+00    1.253913e-02
          73    2.125513e+00    2.172753e+00    1.238451e-02
          74    2.346952e+00    2.175107e+00    1.243887e-02
          75    2.233726e+00    2.175888e+00    1.229755e-02
          76    2.238140e+00    2.176707e+00    1.216299e-02
          77    2.201952e+00    2.177035e+00    1.200944e-02
          78    2.126914e+00    2.176393e+00    1.187265e-02
          79    2.232788e+00    2.177107e+00    1.174381e-02
          80    2.239563e+00    2.177887e+00    1.162293e-02
          81    2.080421e+00    2.176684e+00    1.154156e-02
          82    1.993305e+00    2.174448e+00    1.161545e-02
          83    2.086412e+00    2.173387e+00    1.152383e-02
          84    2.192160e+00    2.173610e+00    1.138881e-02
          85    2.093587e+00    2.172669e+00    1.129367e-02
          86    2.071970e+00    2.171498e+00    1.122288e-02
          87    2.201568e+00    2.171844e+00    1.109920e-02
          88    2.238427e+00    2.172600e+00    1.099883e-02
          89    2.267900e+00    2.173671e+00    1.092725e-02
          90    2.135584e+00    2.173248e+00    1.081403e-02
          91    2.061407e+00    2.172019e+00    1.076480e-02
          92    2.211782e+00    2.172451e+00    1.065647e-02
          93    2.371334e+00    2.174590e+00    1.075432e-02
          94    2.161984e+00    2.174456e+00    1.064075e-02
          95    2.033714e+00    2.172974e+00    1.063137e-02
          96    2.103551e+00    2.172251e+00    1.054520e-02
          97    2.083662e+00    2.171338e+00    1.047596e-02
          98    2.302885e+00    2.172680e+00    1.045470e-02
          99    2.035009e+00    2.171289e+00    1.044118e-02
         100    2.085677e+00    2.170433e+00    1.037180e-02
