#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    1.048736e-02    1.048736e-02    0.000000e+00
           2    9.691707e-03    1.008953e-02    2.813045e-04
           3    1.083463e-02    1.033790e-02    2.762137e-04
           4    1.071859e-02    1.043307e-02    2.229543e-04
           5    1.061033e-02    1.046852e-02    1.811602e-04
           6    9.953055e-03    1.038261e-02    1.701223e-04
           7    9.991757e-03    1.032677e-02    1.547111e-04
           8    1.015719e-02    1.030558e-02    1.368168e-04
           9    1.023163e-02    1.029736e-02    1.218614e-04
          10    1.015176e-02    1.028280e-02    1.105417e-04
          11    1.026952e-02    1.028159e-02    1.004990e-04
          12    1.041617e-02    1.029281e-02    9.274769e-05
          13    1.017613e-02    1.028383e-02    8.604640e-05
          14    9.727190e-03    1.024407e-02    8.861149e-05
          15    1.018298e-02    1.024000e-02    8.279760e-05
          16    1.011493e-02    1.023218e-02    7.799084e-05
          17    1.010584e-02    1.022475e-02    7.375640e-05
          18    9.380455e-03    1.017784e-02    8.324802e-05
          19    9.974526e-03    1.016714e-02    7.955134e-05
          20    1.003872e-02    1.016072e-02    7.583249e-05
          21    1.057904e-02    1.018064e-02    7.479196e-05
          22    1.012324e-02    1.017803e-02    7.143783e-05
          23    1.039579e-02    1.018750e-02    6.895635e-05
          24    9.644914e-03    1.016489e-02    6.969075e-05
          25    1.068968e-02    1.018588e-02    6.999313e-05
          26    9.993858e-03    1.017850e-02    6.768963e-05
          27    1.037453e-02    1.018576e-02    6.557081e-05
          28    1.042093e-02    1.019416e-02    6.376463e-05
          29    1.070944e-02    1.021193e-02    6.399357e-05
          30    1.015242e-02    1.020994e-02    6.189118e-05
