             mu:           sigma        energy:
        0.474586        0.765178       -0.249029
        0.414119        0.699206       -0.162761
        0.455546        0.643776       -0.143681
        0.353267        0.747482       -0.152633
        0.243792        0.862939       -0.202977
        0.116991         1.02887       -0.244411
        0.116991         1.02887       -0.119088
       0.0180164         1.06937       -0.232311
       0.0180164         1.06937       -0.116761
      -0.0468914         1.00594       -0.250141
      -0.0774159        0.924079       -0.243073
       -0.160221        0.791688        -0.11052
      -0.0479244        0.856338       -0.169433
       -0.123055        0.948334       -0.237073
       -0.123055        0.948334       -0.159507
      -0.0863546        0.966578       -0.242801
      -0.0439235        0.999832        -0.24841
      -0.0284516         1.01434       -0.251426
      -0.0284516         1.01434       -0.173839
      -0.0789785         1.05007       -0.240994
       -0.190891         1.07486       -0.209095
       -0.156934        0.976791       -0.249931
       -0.122083         0.94384       -0.237176
       -0.171241        0.883832       -0.207255
       -0.261314        0.835588       -0.184523
       -0.372792        0.812713       -0.225359
       -0.424787         0.72388       -0.183346
       -0.510538        0.745046       -0.264653
       -0.566563          0.6477       -0.285789
       -0.554351        0.561547       -0.226813
       -0.561555        0.570181       -0.250007
       -0.516218        0.577281       -0.182391
       -0.516218        0.577281        0.044232
        -0.44725        0.604162       -0.105023
       -0.464672        0.634192       -0.139993
       -0.464672        0.634192       0.0181461
       -0.551732        0.630979       -0.259445
       -0.551732        0.630979        -0.21008
       -0.604301        0.582775       -0.310558
       -0.543598        0.642168       -0.263661
       -0.626455        0.606781       -0.348383
       -0.668825        0.537695       -0.347644
       -0.735615        0.557357       -0.400512
       -0.735615        0.557357        -0.34705
       -0.770572        0.505595       -0.309308
       -0.833772        0.519867       -0.341318
       -0.873008        0.547934       -0.373834
       -0.931219        0.534595       -0.308826
       -0.931219        0.534595       -0.250315
        -0.91202        0.520699       -0.288095
       -0.845479        0.555419       -0.398588
       -0.845479        0.555419       -0.284104
       -0.892503        0.498222         -0.2344
       -0.892503        0.498222      -0.0218247
       -0.913587         0.47794        -0.15457
       -0.913587         0.47794       -0.106394
       -0.959394        0.492595       -0.168528
       -0.938152        0.473695       -0.117615
       -0.938152        0.473695       -0.108876
       -0.986266        0.456681      -0.0107385
       -0.986266        0.456681        0.013901
       -0.990232        0.490765        -0.11428
       -0.946147        0.460659      -0.0494193
       -0.946147        0.460659       0.0815399
       -0.947613        0.447723      0.00914652
       -0.947613        0.447723        0.188728
       -0.912993        0.469007       -0.104353
       -0.912993        0.469007        0.126825
       -0.922038        0.504759       -0.244884
       -0.939034        0.506102       -0.234617
       -0.939034        0.506102       -0.088293
       -0.954016        0.497127       -0.192916
       -0.954016        0.497127      -0.0885529
        -0.94279        0.466686      -0.0881028
        -0.94279        0.466686       0.0086439
       -0.942996        0.477867       -0.129328
       -0.949025        0.481188       -0.140586
       -0.950745        0.476731       -0.119742
       -0.933151        0.470225       -0.106153
       -0.963495        0.451268      0.00149196
       -0.936704        0.452733      -0.0181886
       -0.922631        0.481193       -0.152167
       -0.902099        0.508083        -0.25979
