#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    6.649583e+01    6.649583e+01    0.000000e+00
           2    7.083154e+01    6.866368e+01    1.532903e+00
           3    7.179551e+01    6.970763e+01    1.330750e+00
           4    7.703788e+01    7.154019e+01    1.874792e+00
           5    6.870426e+01    7.097300e+01    1.583307e+00
           6    7.551160e+01    7.172944e+01    1.489194e+00
           7    7.930494e+01    7.281165e+01    1.622716e+00
           8    8.426596e+01    7.424344e+01    1.951875e+00
           9    7.549056e+01    7.438201e+01    1.739911e+00
          10    8.049602e+01    7.499341e+01    1.669891e+00
          11    7.748356e+01    7.521979e+01    1.533350e+00
          12    7.734966e+01    7.539728e+01    1.415806e+00
          13    7.995010e+01    7.574749e+01    1.349518e+00
          14    7.604913e+01    7.576904e+01    1.253296e+00
          15    7.944330e+01    7.601399e+01    1.193440e+00
          16    7.714751e+01    7.608483e+01    1.120951e+00
          17    8.313806e+01    7.649973e+01    1.129187e+00
          18    7.940703e+01    7.666125e+01    1.077944e+00
          19    7.344974e+01    7.649222e+01    1.034378e+00
          20    7.978753e+01    7.665699e+01    9.956950e-01
          21    7.864334e+01    7.675157e+01    9.527632e-01
          22    8.671618e+01    7.720451e+01    1.011403e+00
          23    7.422586e+01    7.707500e+01    9.756854e-01
          24    7.864202e+01    7.714030e+01    9.372140e-01
          25    8.296634e+01    7.737334e+01    9.282467e-01
