#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -8.362600e-02   -8.362600e-02    0.000000e+00
           2   -2.264080e-01   -1.550170e-01    5.048106e-02
           3   -4.560780e-01   -2.553707e-01    8.858047e-02
           4   -4.906660e-01   -3.141945e-01    8.371881e-02
           5    1.258500e-01   -2.261856e-01    1.033543e-01
           6   -1.065880e-01   -2.062527e-01    8.802973e-02
           7    4.542020e-01   -1.119020e-01    1.154281e-01
           8    3.371060e-01   -5.577600e-02    1.138300e-01
           9    5.297840e-01    9.286222e-03    1.183241e-01
          10   -3.395560e-01   -2.559800e-02    1.115155e-01
          11   -3.422900e-01   -5.438818e-02    1.050284e-01
          12    4.534340e-01   -1.206967e-02    1.044542e-01
          13    1.113340e-01   -2.577077e-03    9.684968e-02
          14    3.438260e-01    2.216600e-02    9.303884e-02
          15   -6.432160e-01   -2.219280e-02    9.683521e-02
          16    2.208660e-01   -7.001625e-03    9.196686e-02
          17    2.211460e-01    6.418824e-03    8.753077e-02
          18    9.500200e-02    1.134011e-02    8.280618e-02
          19   -1.155880e-01    4.659684e-03    7.871697e-02
          20   -4.281660e-01   -1.698160e-02    7.769906e-02
          21   -8.991000e-02   -2.045438e-02    7.407668e-02
          22    1.036940e-01   -1.481127e-02    7.092417e-02
          23   -5.123200e-02   -1.639478e-02    6.785819e-02
          24   -6.222000e-03   -1.597092e-02    6.503209e-02
          25    3.649740e-01   -7.331200e-04    6.419118e-02
