#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    1.084542e+00    1.084542e+00    0.000000e+00
           2    1.257379e+00    1.170961e+00    6.110702e-02
           3    1.312644e+00    1.218188e+00    5.609417e-02
           4    1.191566e+00    1.211533e+00    4.246363e-02
           5    1.196577e+00    1.208542e+00    3.407610e-02
           6    1.271159e+00    1.218978e+00    2.995224e-02
           7    1.118165e+00    1.204576e+00    2.892927e-02
           8    1.264938e+00    1.212121e+00    2.627865e-02
           9    1.308918e+00    1.222876e+00    2.546478e-02
          10    1.189748e+00    1.219564e+00    2.313278e-02
          11    1.265417e+00    1.223732e+00    2.140208e-02
          12    1.270202e+00    1.227605e+00    1.996584e-02
          13    1.155169e+00    1.222033e+00    1.919175e-02
          14    1.228813e+00    1.222517e+00    1.782702e-02
          15    1.241939e+00    1.223812e+00    1.668551e-02
          16    1.181267e+00    1.221153e+00    1.585313e-02
          17    1.181158e+00    1.218800e+00    1.509415e-02
          18    1.148382e+00    1.214888e+00    1.475385e-02
          19    1.171205e+00    1.212589e+00    1.415534e-02
          20    1.153956e+00    1.209657e+00    1.374780e-02
