#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -9.722040e-01   -9.722040e-01    0.000000e+00
           2   -9.741800e-01   -9.731920e-01    6.986215e-04
           3   -9.692120e-01   -9.718653e-01    1.179103e-03
           4   -9.708440e-01   -9.716100e-01    9.115542e-04
           5   -9.751120e-01   -9.723104e-01    9.613761e-04
           6   -9.730920e-01   -9.724407e-01    8.099242e-04
           7   -9.685800e-01   -9.718891e-01    8.617812e-04
           8   -9.757600e-01   -9.723730e-01    8.794643e-04
           9   -9.758960e-01   -9.727644e-01    8.644826e-04
          10   -9.788960e-01   -9.733776e-01    9.714428e-04
          11   -9.784400e-01   -9.738378e-01    9.861361e-04
          12   -9.744200e-01   -9.738863e-01    9.051507e-04
          13   -9.721760e-01   -9.737548e-01    8.450311e-04
          14   -9.705560e-01   -9.735263e-01    8.149758e-04
          15   -9.791880e-01   -9.739037e-01    8.435333e-04
          16   -9.788600e-01   -9.742135e-01    8.457792e-04
          17   -9.806280e-01   -9.745908e-01    8.761609e-04
          18   -9.666320e-01   -9.741487e-01    9.324019e-04
          19   -9.755960e-01   -9.742248e-01    8.864344e-04
          20   -9.708680e-01   -9.740570e-01    8.578556e-04
          21   -9.752120e-01   -9.741120e-01    8.187665e-04
          22   -9.735360e-01   -9.740858e-01    7.819683e-04
          23   -9.730320e-01   -9.740400e-01    7.493108e-04
          24   -9.778680e-01   -9.741995e-01    7.348693e-04
          25   -9.680040e-01   -9.739517e-01    7.460914e-04
