#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    9.715400e-02    9.715400e-02    0.000000e+00
           2    1.527920e-01    1.249730e-01    1.967100e-02
           3    3.329200e-02    9.441267e-02    2.818865e-02
           4   -8.981000e-02    4.835700e-02    4.514206e-02
           5    1.213880e-01    6.296320e-02    3.840402e-02
           6    3.181480e-01    1.054940e-01    5.031506e-02
           7    1.603800e-02    9.271457e-02    4.472067e-02
           8   -2.340000e-04    8.109600e-02    4.061182e-02
           9    2.595000e-02    7.496867e-02    3.655870e-02
          10    3.903720e-01    1.065090e-01    4.447370e-02
          11    3.992220e-01    1.331193e-01    4.773227e-02
          12    1.121560e-01    1.313723e-01    4.378654e-02
          13   -2.830000e-02    1.190898e-01    4.210579e-02
          14    1.047780e-01    1.180676e-01    3.911064e-02
          15   -4.231000e-02    1.073757e-01    3.793656e-02
          16   -1.869840e-01    8.897825e-02    3.977713e-02
          17   -1.595000e-01    7.436188e-02    4.003276e-02
          18    7.885200e-02    7.461133e-02    3.780950e-02
          19    4.204600e-01    9.281389e-02    3.996165e-02
          20   -1.035880e-01    8.299380e-02    3.915156e-02
          21    4.222500e-01    9.914886e-02    4.048325e-02
          22    3.423560e-01    1.102037e-01    4.012411e-02
          23   -1.375440e-01    9.943209e-02    3.979920e-02
          24    1.194140e-01    1.002647e-01    3.814960e-02
          25    6.229960e-01    1.211739e-01    4.196425e-02
