#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -3.028000e-03   -3.028000e-03    0.000000e+00
           2    4.100000e-04   -1.309000e-03    1.215517e-03
           3   -3.292000e-03   -1.970000e-03    9.736214e-04
           4    9.096000e-03    7.965000e-04    2.504667e-03
           5   -3.682000e-03   -9.920000e-05    2.157955e-03
           6    1.956000e-03    2.433333e-04    1.825279e-03
           7    2.796000e-03    6.080000e-04    1.600538e-03
           8   -9.386000e-03   -6.412500e-04    1.823970e-03
           9    3.200000e-04   -5.344444e-04    1.624431e-03
          10    3.254000e-03   -1.556000e-04    1.505516e-03
          11   -5.754000e-03   -6.645455e-04    1.452130e-03
          12    2.074000e-03   -4.363333e-04    1.348933e-03
          13   -2.400000e-04   -4.212308e-04    1.245253e-03
          14    2.268000e-03   -2.291429e-04    1.171028e-03
          15    1.216000e-03   -1.328000e-04    1.096916e-03
          16    1.872000e-03   -7.500000e-06    1.035490e-03
          17    5.580000e-04    2.576471e-05    9.751133e-04
          18    2.474000e-03    1.617778e-04    9.303778e-04
          19    3.312000e-03    3.275789e-04    8.960624e-04
          20    5.660000e-04    3.395000e-04    8.513386e-04
          21    6.928000e-03    6.532381e-04    8.666826e-04
          22   -2.730000e-03    4.994545e-04    8.408209e-04
          23    7.718000e-03    8.133043e-04    8.608477e-04
          24   -1.708000e-03    7.082500e-04    8.313645e-04
          25    1.992000e-03    7.596000e-04    7.996942e-04
