#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    9.140869e+01    9.140869e+01    0.000000e+00
           2    8.967326e+01    9.054098e+01    6.135650e-01
           3    8.712154e+01    8.940116e+01    1.016579e+00
           4    9.011253e+01    8.957900e+01    7.778345e-01
           5    8.753740e+01    8.917068e+01    7.215246e-01
           6    9.059754e+01    8.940849e+01    6.392607e-01
           7    8.802450e+01    8.921078e+01    5.777039e-01
           8    8.691677e+01    8.892403e+01    5.722492e-01
           9    9.246161e+01    8.931709e+01    6.293441e-01
          10    8.867667e+01    8.925305e+01    5.696589e-01
          11    9.022551e+01    8.934146e+01    5.246867e-01
          12    9.038209e+01    8.942818e+01    4.880766e-01
          13    8.877294e+01    8.937777e+01    4.531273e-01
          14    9.174038e+01    8.954653e+01    4.510928e-01
          15    9.017422e+01    8.958838e+01    4.229564e-01
          16    9.309407e+01    8.980748e+01    4.497070e-01
          17    9.189504e+01    8.993028e+01    4.396997e-01
          18    9.026009e+01    8.994860e+01    4.156536e-01
          19    9.354832e+01    9.013806e+01    4.348170e-01
          20    8.934181e+01    9.009825e+01    4.148948e-01
          21    9.222675e+01    9.019961e+01    4.073304e-01
          22    9.301217e+01    9.032745e+01    4.083853e-01
          23    9.152185e+01    9.037938e+01    3.939173e-01
          24    9.383316e+01    9.052329e+01    4.029340e-01
          25    8.424570e+01    9.027218e+01    4.584298e-01
          26    8.506110e+01    9.007176e+01    4.826267e-01
          27    9.148843e+01    9.012423e+01    4.675951e-01
          28    9.200698e+01    9.019147e+01    4.557043e-01
          29    8.855206e+01    9.013494e+01    4.434829e-01
          30    8.984572e+01    9.012530e+01    4.288049e-01
