#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -1.005188e+00   -1.005188e+00    0.000000e+00
           2   -1.003403e+00   -1.004296e+00    6.313332e-04
           3   -9.980492e-01   -1.002213e+00    1.751391e-03
           4   -1.003287e+00   -1.002482e+00    1.333952e-03
           5   -9.990436e-01   -1.001794e+00    1.231724e-03
           6   -1.003475e+00   -1.002074e+00    1.057823e-03
           7   -1.000045e+00   -1.001784e+00    9.455998e-04
           8   -9.997690e-01   -1.001533e+00    8.603087e-04
           9   -1.006360e+00   -1.002069e+00    9.168041e-04
          10   -1.002555e+00   -1.002118e+00    8.264114e-04
          11   -1.003388e+00   -1.002233e+00    7.593163e-04
          12   -1.004325e+00   -1.002407e+00    7.157686e-04
          13   -1.001629e+00   -1.002348e+00    6.632061e-04
          14   -1.006478e+00   -1.002643e+00    6.782803e-04
          15   -1.002604e+00   -1.002640e+00    6.330664e-04
          16   -1.007924e+00   -1.002970e+00    6.741621e-04
          17   -1.006519e+00   -1.003179e+00    6.660482e-04
          18   -1.001768e+00   -1.003101e+00    6.336411e-04
          19   -1.009208e+00   -1.003422e+00    6.769419e-04
          20   -1.003134e+00   -1.003408e+00    6.432476e-04
          21   -1.006873e+00   -1.003573e+00    6.334328e-04
          22   -1.005997e+00   -1.003683e+00    6.141470e-04
          23   -1.005168e+00   -1.003748e+00    5.908291e-04
          24   -1.008287e+00   -1.003937e+00    5.957185e-04
          25   -9.969066e-01   -1.003655e+00    6.347989e-04
          26   -9.950438e-01   -1.003324e+00    6.914142e-04
          27   -1.006047e+00   -1.003425e+00    6.731216e-04
          28   -1.005975e+00   -1.003516e+00    6.552136e-04
          29   -1.001858e+00   -1.003459e+00    6.351103e-04
          30   -1.003762e+00   -1.003469e+00    6.140203e-04
