#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    3.983873e-03    3.983873e-03    0.000000e+00
           2    4.015115e-03    3.999494e-03    1.104567e-05
           3    4.058622e-03    4.019203e-03    1.769731e-05
           4    3.970062e-03    4.006918e-03    1.701082e-05
           5    3.956917e-03    3.996918e-03    1.628497e-05
           6    3.975578e-03    3.993361e-03    1.395379e-05
           7    3.926550e-03    3.983817e-03    1.487059e-05
           8    4.028544e-03    3.989408e-03    1.402343e-05
           9    3.917774e-03    3.981448e-03    1.454970e-05
          10    3.976963e-03    3.981000e-03    1.310164e-05
          11    3.907474e-03    3.974316e-03    1.350846e-05
          12    3.951762e-03    3.972436e-03    1.251281e-05
          13    3.937507e-03    3.969749e-03    1.183525e-05
          14    3.954300e-03    3.968646e-03    1.104120e-05
          15    3.929538e-03    3.966039e-03    1.060848e-05
          16    3.987685e-03    3.967391e-03    1.003134e-05
          17    3.926169e-03    3.964967e-03    9.729932e-06
          18    3.936839e-03    3.963404e-03    9.314018e-06
          19    3.866633e-03    3.958311e-03    1.012102e-05
          20    3.993069e-03    3.960049e-03    9.763039e-06
          21    3.940126e-03    3.959100e-03    9.344112e-06
          22    3.982190e-03    3.960149e-03    8.978132e-06
          23    3.950975e-03    3.959751e-03    8.596634e-06
          24    3.940958e-03    3.958968e-03    8.274024e-06
          25    3.981233e-03    3.959858e-03    7.990852e-06
          26    3.938828e-03    3.959049e-03    7.724340e-06
          27    3.913747e-03    3.957372e-03    7.618303e-06
          28    3.844955e-03    3.953357e-03    8.337299e-06
          29    3.962359e-03    3.953667e-03    8.055582e-06
          30    3.931306e-03    3.952922e-03    7.821472e-06
