#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    2.835200e-02    2.835200e-02    0.000000e+00
           2    2.753800e-02    2.794500e-02    2.877925e-04
           3    1.868000e-02    2.485667e-02    2.528902e-03
           4    2.998400e-02    2.613850e-02    2.197659e-03
           5    3.360000e-02    2.763080e-02    2.207392e-03
           6    3.422200e-02    2.872933e-02    2.095085e-03
           7    3.191400e-02    2.918429e-02    1.844523e-03
           8    2.549200e-02    2.872275e-02    1.670703e-03
           9    3.189800e-02    2.907556e-02    1.521864e-03
          10    2.350400e-02    2.851840e-02    1.468127e-03
          11    2.329800e-02    2.804382e-02    1.409281e-03
          12    2.512800e-02    2.780083e-02    1.312621e-03
          13    2.708800e-02    2.774600e-02    1.212795e-03
          14    2.969400e-02    2.788514e-02    1.134121e-03
          15    2.582800e-02    2.774800e-02    1.066772e-03
          16    2.789000e-02    2.775688e-02    1.000136e-03
          17    3.231000e-02    2.802471e-02    9.765080e-04
          18    2.435000e-02    2.782056e-02    9.433563e-04
          19    3.401800e-02    2.814674e-02    9.484223e-04
          20    2.635800e-02    2.805730e-02    9.052083e-04
          21    2.891400e-02    2.809810e-02    8.630219e-04
          22    2.478800e-02    2.794764e-02    8.368064e-04
          23    2.261400e-02    2.771574e-02    8.319351e-04
          24    2.922800e-02    2.777875e-02    7.996538e-04
          25    2.484600e-02    2.766144e-02    7.762247e-04
          26    2.791800e-02    2.767131e-02    7.464326e-04
          27    2.274000e-02    2.748867e-02    7.407948e-04
          28    2.664400e-02    2.745850e-02    7.149518e-04
          29    2.925600e-02    2.752048e-02    6.929799e-04
          30    2.957000e-02    2.758880e-02    6.732397e-04
