Gen:	<L_2>
475	70.9513
476	71.385
477	71.1544
478	70.9926
479	70.893
480	71.0719
481	71.021
482	70.935
483	71.0338
484	71.0111
485	70.74
486	70.8655
487	70.9059
488	70.9769
489	70.8721
490	70.8842
491	70.9169
492	70.9976
493	70.8369
494	70.5766
495	70.8118
496	70.867
497	71.0039
498	70.9405
499	70.8339
500	70.893
501	70.7113
502	71.1478
503	70.883
504	71.0507
505	71.1577
506	70.9708
507	70.9857
508	70.7855
509	70.555
510	70.7308
511	70.8129
512	70.9713
513	70.6246
514	70.8394
515	70.8986
516	71.0368
517	70.7596
518	70.6469
519	71.001
520	70.6113
521	70.9694
522	71.0682
523	70.7917
524	70.76
525	70.7544
526	70.957
527	70.8763
528	70.9984
529	70.9911
530	71.3079
531	71.117
532	71.2172
533	71.0176
534	70.9883
535	70.9762
536	70.7267
537	70.9765
538	70.7477
539	71.0196
540	70.7484
541	70.7803
542	70.6542
543	70.4822
544	70.9218
545	70.5821
546	70.7768
547	70.6785
548	70.7668
549	70.7999
550	71.0098
551	70.8508
552	71.0582
553	70.9275
554	70.9825
555	70.6749
556	70.7844
557	70.6568
558	70.9254
559	70.6322
560	70.9093
561	70.5924
562	70.7286
563	70.8781
564	70.6535
565	70.9646
566	70.6731
567	71.0618
568	71.2221
569	70.9508
570	70.7698
571	70.898
572	70.9438
573	70.9453
574	70.8536
575	70.8721
576	70.6901
577	70.7191
578	70.652
579	70.5684
580	70.7734
581	70.9522
582	70.9838
583	70.9051
584	70.9028
585	70.9567
586	70.8142
587	70.876
588	70.9068
589	70.7781
590	71.0277
591	70.9349
592	70.8589
593	70.8771
594	70.7509
595	70.6683
596	70.7879
597	70.9144
598	70.9764
599	70.9943
600	70.7806
601	70.8648
602	70.7727
603	70.7908
604	70.8044
605	70.5733
606	70.8001
607	71.0467
608	71.0431
609	71.1085
610	70.7684
611	70.9467
612	71.0068
613	70.6879
614	70.6256
615	70.877
616	71.058
617	71.0378
618	71.0069
619	70.724
620	70.9772
621	70.9176
622	70.7501
623	71.0295
624	70.8221
625	71.1939
626	70.8164
627	70.8744
628	70.8951
629	71.0551
630	70.9924
631	70.9061
632	70.821
633	70.816
634	70.7548
635	70.9059
636	71.0075
637	70.791
638	70.8001
639	70.7457
640	70.7423
641	70.672
642	70.6406
643	70.7251
644	70.8996
645	70.7541
646	70.8832
647	70.7799
648	70.7208
649	70.7632
650	70.5714
651	70.9069
652	71.0555
653	70.896
654	70.905
655	70.9426
656	70.8684
657	70.7927
658	70.6668
659	71.0058
660	70.8623
661	70.9327
662	70.6521
663	70.7156
664	70.539
665	70.6451
666	70.7277
667	70.805
668	70.7069
669	70.887
670	70.8133
671	70.9228
672	70.9519
673	70.676
674	70.944
675	70.8012
676	71.0527
677	70.9594
678	71.0907
679	70.7935
680	70.9156
681	70.7653
682	70.671
683	70.8047
684	70.6517
685	70.8833
686	70.8177
687	70.7922
688	70.7382
689	70.9121
690	70.6143
691	70.9749
692	70.9385
693	70.6281
694	70.8044
695	70.8349
696	70.8193
697	70.8711
698	70.6883
699	70.8534
700	70.8622
701	70.7456
702	70.8597
703	70.8306
704	70.9421
705	70.7608
706	71.167
707	71.0684
708	70.757
709	70.9308
710	71.148
711	70.9151
712	70.7277
713	70.885
714	71.0278
715	71.1497
716	70.9363
717	70.7455
718	71.0755
719	70.9709
720	70.9207
721	71.0358
722	70.8912
723	70.7138
724	71.0908
725	70.9869
726	70.9606
727	71.0364
728	70.8226
729	71.0887
730	70.7309
731	70.6894
732	70.6417
733	70.8391
734	70.7366
735	71.2395
736	70.7141
737	70.6181
738	70.6819
739	70.4738
740	70.5843
741	70.4507
742	70.7328
743	70.993
744	71.0727
745	70.9546
746	70.5996
747	70.84
748	70.6198
749	71.1329
750	70.8588
751	71.004
752	71.0694
753	70.8594
754	70.729
755	70.7615
756	70.6915
757	71.0753
758	71.244
759	70.8959
760	70.7722
761	70.7546
762	70.8982
763	70.819
764	70.9456
765	70.6963
766	70.6722
767	70.9036
768	70.4122
769	70.7712
770	70.6636
771	70.8709
772	70.9477
773	70.8906
774	70.8242
775	70.8692
776	70.966
777	70.7922
778	70.7581
779	70.6035
780	70.9202
781	70.8871
782	70.8196
783	71.1523
784	70.8121
785	70.742
786	70.6304
787	70.6837
788	70.4342
789	70.7016
790	70.6942
791	71.065
792	70.9224
793	70.8558
794	70.9983
795	70.7078
796	70.6346
797	70.8156
798	70.848
799	71.2829
800	71.1233
801	70.7749
802	70.9443
803	70.6213
804	70.9455
805	70.8359
806	70.7515
807	70.8366
808	70.7415
809	70.9696
810	70.9326
811	70.9427
812	70.8733
813	70.749
814	70.9668
815	70.9371
816	71.2934
817	71.1009
818	70.781
819	70.8714
820	70.8547
821	70.8349
822	70.7764
823	70.8119
824	70.9561
825	70.8775
826	70.6918
827	70.8263
828	70.8767
829	70.747
830	70.5939
831	70.7614
832	70.6194
833	70.7474
834	70.9326
835	70.6647
836	70.7824
837	70.9902
838	70.8224
839	71.2163
840	71.0303
841	70.9341
842	70.6464
843	70.5205
844	70.5315
845	70.5321
846	71.0322
847	70.7442
848	70.8218
849	70.9098
850	70.757
851	70.8381
852	70.8735
853	70.5708
854	70.6718
855	70.9936
856	70.9693
857	70.89
858	70.9347
859	70.9001
860	70.6642
861	70.6602
862	70.8993
863	70.8474
864	70.4549
865	70.7896
866	70.6523
867	70.6611
868	70.617
869	71.0353
870	70.8158
871	71.091
872	70.7808
873	70.8535
874	70.5889
875	70.7216
876	70.6334
877	70.7666
878	70.664
879	70.8107
880	70.813
881	70.9254
882	70.5434
883	70.5982
884	70.6654
885	70.9464
886	70.6515
887	70.5851
888	70.6955
889	70.7929
890	70.5971
891	70.7099
892	70.7476
893	70.4869
894	70.5569
895	70.8171
896	70.8051
897	70.6013
898	70.7317
899	70.8625
900	70.75
901	70.7721
902	71.0824
903	71.076
904	71.123
905	70.741
906	70.7653
907	70.647
908	70.733
909	70.6421
910	70.758
911	70.4596
912	70.4829
913	70.7061
914	70.8484
915	70.7724
916	70.7954
917	70.9735
918	70.7313
919	70.4216
920	70.7321
921	70.7149
922	70.5954
923	70.4621
924	70.7456
925	70.8152
926	70.908
927	70.7028
928	70.8868
929	70.629
930	70.7073
931	70.8925
932	70.6412
933	70.5351
934	70.7062
935	70.9078
936	70.5873
937	70.6582
938	70.6774
939	70.6144
940	70.3564
941	70.484
942	70.6921
943	70.9513
944	71.0672
945	70.8245
946	70.5617
947	70.5141
948	70.6343
949	70.5154
950	70.5803
951	70.8075
952	70.5761
953	70.2327
954	70.4674
955	70.6026
956	70.7132
957	70.4835
958	70.6996
959	70.7598
960	70.5965
961	70.3927
962	70.4495
963	70.4959
964	70.7024
965	70.6899
966	70.6672
967	70.5821
968	70.6159
969	70.7913
970	70.6787
971	70.477
972	70.4861
973	70.8703
974	70.8183
975	70.5729
976	70.4801
977	70.5305
978	70.7202
979	70.6401
980	70.5172
981	70.7154
982	70.3632
983	70.3429
984	70.5734
985	70.5365
986	70.5911
987	70.3692
988	70.5625
989	70.6865
990	70.8134
991	70.9477
992	70.6562
993	70.7054
994	70.2179
995	70.6598
996	70.4056
997	70.4619
998	70.4522
999	70.3409
