Gen:	L_2
1	388.238
2	376.181
3	358.379
4	339.046
5	323.667
6	315.969
7	306.193
8	300.783
9	288.695
10	278.616
11	272.731
12	269.379
13	261.913
14	256.463
15	250.991
16	246.822
17	238.601
18	231.117
19	226.628
20	221.964
21	217.439
22	213.474
23	211.004
24	202.464
25	198.983
26	196.994
27	195.892
28	193.299
29	188.995
30	187.073
31	184.719
32	180.892
33	176.405
34	173.617
35	168.425
36	167.055
37	164.185
38	160.521
39	159.707
40	158.471
41	157.536
42	155.911
43	152.79
44	151.582
45	149.483
46	146.145
47	145.549
48	143.845
49	143.44
50	141.105
51	137.464
52	135.324
53	133.87
54	133.87
55	132.159
56	131.896
57	130.98
58	129.84
59	128.368
60	127.459
61	126.604
62	125.967
63	124.51
64	123.798
65	123.068
66	122.446
67	122.172
68	121.586
69	120.163
70	119.459
71	119.029
72	118.093
73	117.16
74	116.605
75	115.8
76	115.06
77	113.781
78	113.781
79	113.293
80	111.014
81	109.972
82	109.601
83	109.02
84	108.829
85	108.219
86	107.381
87	106.596
88	105.899
89	105.695
90	99.5063
91	99.5063
92	99.3963
93	99.3963
94	98.9401
95	97.5029
96	96.3972
97	96.0112
98	96.0112
99	95.9806
100	95.7654
101	95.6919
102	94.9982
103	94.4042
104	93.8943
105	93.6754
106	92.4214
107	92.3908
108	92.3908
109	91.6541
110	91.2356
111	91.2356
112	90.7379
113	90.406
114	90.2528
115	89.7011
116	89.4494
117	88.7445
118	88.639
119	88.3294
120	88.1917
121	87.7311
122	87.7311
123	87.4148
124	86.753
125	86.753
126	86.753
127	86.7122
128	86.7122
129	86.4034
130	85.964
131	85.964
132	85.7607
133	85.2002
134	85.2002
135	84.8116
136	84.7953
137	84.7953
138	84.2239
139	84.2239
140	84.0662
141	84.0662
142	83.9879
143	83.4761
144	83.4693
145	83.0258
146	82.872
147	82.872
148	82.7104
149	82.3732
150	81.9704
151	81.9201
152	81.8611
153	81.641
154	81.3386
155	81.0099
156	81.0099
157	81.0099
158	81.0099
159	80.9229
160	80.5856
161	80.4212
162	80.4212
163	80.4212
164	80.4212
165	80.3342
166	80.2511
167	80.2511
168	80.2511
169	80.0399
170	79.199
171	79.199
172	79.199
173	78.9469
174	78.9469
175	78.9469
176	78.6044
177	78.6044
178	78.6044
179	77.6973
180	77.5749
181	77.0109
182	76.7527
183	76.7432
184	76.7348
185	76.649
186	76.649
187	76.3637
188	76.3637
189	76.3637
190	76.3637
191	76.3637
192	76.3637
193	76.1859
194	76.1859
195	75.9831
196	75.8486
197	75.8486
198	75.8486
199	75.8486
200	75.6458
201	75.5347
202	75.3727
203	75.161
204	75.161
205	74.8068
206	74.8068
207	74.8068
208	74.8068
209	74.5767
210	74.3499
211	74.0565
212	73.5995
213	73.5995
214	73.5995
215	73.5995
216	73.5995
217	73.5995
218	73.5288
219	73.5162
220	73.5162
221	73.4641
222	73.4309
223	73.3788
224	73.3788
225	73.3788
226	73.3788
227	72.9675
228	72.9675
229	72.9675
230	72.9675
231	72.9675
232	72.9675
233	72.9675
234	72.9675
235	72.9535
236	72.9535
237	72.2391
238	72.2251
239	72.2251
240	72.2251
241	72.2251
242	72.2251
243	72.2251
244	72.2251
245	72.2251
246	72.2251
247	71.7296
248	71.7296
249	71.1968
250	71.1968
251	71.1968
252	71.1968
253	71.1968
254	71.1968
255	71.1968
256	71.1968
257	71.1968
258	71.1968
259	71.1968
260	71.1968
261	71.1968
262	71.1968
263	71.1968
264	71.1968
265	71.1968
266	71.1968
267	71.1968
268	71.1968
269	71.1968
270	71.1968
271	71.1968
272	71.1968
273	71.1968
274	71.1968
275	71.1968
276	71.1968
277	71.1968
278	71.1968
279	71.1968
280	71.1865
281	71.1865
282	71.1865
283	71.1865
284	71.1865
285	71.1865
286	71.1865
287	71.1865
288	71.1865
289	71.1865
290	71.1865
291	70.8114
292	70.8114
293	70.8114
294	70.8114
295	70.8114
296	70.8114
297	70.8114
298	70.8114
299	70.8114
300	70.8114
301	70.8114
302	70.8114
303	70.8114
304	70.8114
305	70.8114
306	70.8114
307	70.8114
308	70.8114
309	70.8114
310	70.8114
311	70.8114
312	70.8114
313	70.8114
