Gen:	<L_2>
0	509.523
1	451.257
2	415.795
3	395.604
4	380.62
5	360.01
6	347.352
7	337.104
8	326.437
9	318.013
10	308.074
11	295.825
12	286.879
13	279.573
14	272.803
15	265.641
16	257.223
17	250.664
18	245.086
19	239.907
20	234.28
21	229.96
22	225.593
23	222.265
24	219.497
25	216.032
26	211.483
27	207.175
28	204.025
29	200.86
30	196.671
31	192.575
32	188.504
33	185.382
34	182.418
35	179.472
36	176.503
37	173.894
38	172.113
39	170.413
40	168.844
41	166.9
42	164.89
43	162.811
44	161.891
45	161.628
46	161.134
47	158.143
48	155.941
49	153.478
50	152.09
51	150.229
52	149.193
53	148.928
54	147.408
55	144.989
56	142.61
57	140.638
58	138.963
59	137.454
60	135.72
61	135.162
62	134.26
63	132.139
64	130.489
65	129.674
66	128.013
67	124.859
68	122.555
69	120.863
70	119.928
71	119.089
72	117.927
73	116.5
74	113.805
75	111.528
76	110.469
77	110.16
78	109.9
79	108.377
80	108.5
81	109.019
82	107.427
83	107.492
84	106.917
85	104.972
86	104.032
87	102.905
88	103.274
89	103.599
90	103.963
91	103.627
92	103.046
93	102.557
94	101.931
95	100.559
96	99.1639
97	98.7704
98	98.7001
99	97.7882
100	96.6942
101	95.4178
102	94.2419
103	93.4461
104	92.6394
105	92.3834
106	92.0775
107	91.4277
108	90.5917
109	89.3357
110	88.5242
111	88.3967
112	87.4425
113	86.7988
114	86.3221
115	86.2987
116	86.1221
117	85.9057
118	86.5422
119	86.8916
120	86.1658
121	85.7829
122	85.4846
123	84.7027
124	84.3012
125	83.7606
126	83.8369
127	83.8194
128	83.5094
129	83.238
130	83.0755
131	83.7616
132	83.9818
133	83.5538
134	83.264
135	82.9588
136	82.5071
137	82.2383
138	81.98
139	81.7157
140	81.4076
141	81.4713
142	81.0649
143	81.2888
144	80.8808
145	81.1737
146	81.581
147	82.0385
148	81.7954
149	81.2332
150	81.2689
151	81.3853
152	80.7426
153	79.9915
154	79.5486
155	79.2564
156	78.9197
157	79.2679
158	78.4237
159	78.0377
160	77.9081
161	77.6183
162	77.5089
163	77.3007
164	77.0549
165	76.9438
166	76.736
167	77.5247
168	78.0907
169	77.5618
170	76.9967
171	76.2083
172	75.9431
173	75.7777
174	75.8416
175	76.0439
176	75.8961
177	75.3159
178	75.2344
179	75.297
180	75.6558
181	75.403
182	75.1662
183	75.2829
184	75.365
185	75.3617
186	74.9796
187	75.0465
188	75.1062
189	74.8964
190	74.9308
191	74.8788
192	74.761
193	74.8227
194	75.0614
195	75.1858
196	74.8539
197	75.149
198	74.9273
199	75.0539
200	74.9195
201	74.7717
202	74.4703
203	74.5682
204	74.3824
205	73.9533
206	74.052
207	73.952
208	73.9846
209	74.0134
210	74.2089
211	74.0246
212	74.1563
213	73.7524
214	73.9186
215	74.0047
216	73.9331
217	73.8819
218	74.1649
219	73.845
220	73.7344
221	73.7311
222	73.8681
223	74.1031
224	73.6312
225	73.8939
226	73.7787
227	73.8257
228	73.5127
229	73.4565
230	73.6449
231	73.3047
232	73.3751
233	73.3862
234	73.4941
235	73.5083
236	73.5489
237	73.312
238	73.4406
239	73.5822
240	73.3157
241	73.5171
242	73.4856
243	73.1028
244	73.3995
245	73.5791
246	73.3307
247	73.4338
248	73.551
249	73.3509
250	73.4895
251	73.5283
252	73.3915
253	73.3592
254	73.4609
255	73.3864
256	73.4864
257	73.3369
258	73.3968
259	73.614
260	73.3619
261	73.0266
262	73.1923
263	73.4178
264	73.2971
265	73.485
266	73.2293
267	73.5065
268	73.3191
269	73.5127
270	73.4238
271	73.3821
272	73.4037
273	73.7221
274	73.4329
275	73.3334
276	73.356
277	73.426
278	73.4316
279	73.3676
280	72.9439
281	72.9784
282	72.9668
283	73.2168
284	72.9213
285	72.991
286	72.8978
287	72.8133
288	72.8906
289	72.883
290	72.8377
291	72.8935
292	72.8675
293	72.8839
294	72.8727
295	72.9536
296	73.1004
297	72.8013
298	72.9373
299	73.1525
300	73.2695
301	73.0758
302	73.0795
303	73.0692
304	73.0343
305	72.8156
306	72.754
307	72.8347
308	72.7637
309	72.8265
310	72.9925
311	73.0945
312	73.0912
313	72.8168
314	73.1118
315	73.0736
316	72.9474
317	72.878
318	73.0781
319	72.8642
320	72.8446
321	73.0545
322	72.7117
323	72.8467
324	72.8257
325	72.9894
326	72.6978
327	72.2977
328	71.9864
329	71.7071
330	71.5876
331	71.6066
332	71.7112
333	71.5701
334	71.7955
335	71.4189
336	71.5025
337	71.2815
338	71.3681
339	71.3004
340	71.7934
341	71.6905
342	71.4824
343	71.4749
344	71.3878
345	71.7602
346	71.6443
347	71.4694
348	71.2437
349	71.413
350	71.5816
351	71.5958
352	71.7392
353	71.7196
354	71.52
355	71.5342
356	71.5628
357	71.6651
358	71.396
359	71.5009
360	71.7991
361	70.9557
362	69.3811
363	68.4156
364	68.0975
365	67.9694
366	67.5143
367	67.7704
368	68.1394
369	67.677
370	67.8009
371	67.9314
372	68.0333
373	67.7181
374	67.591
375	67.7465
376	67.7522
377	68.1636
378	67.8169
379	67.553
380	67.6021
381	67.5751
382	67.9843
383	67.7857
384	67.6638
385	67.7221
386	67.5546
387	67.8323
388	68.1407
389	67.5704
390	67.5632
391	67.6013
392	67.7638
393	67.6192
394	67.5516
395	67.6437
396	67.8326
397	67.8223
398	67.7416
399	67.5532
400	67.5565
401	67.486
402	67.3838
403	67.503
404	67.735
405	67.7141
406	67.6818
407	67.6377
408	67.6204
409	67.65
410	67.6869
411	67.4627
412	67.5521
413	67.5708
414	67.5548
415	67.7091
416	67.8601
417	67.5419
418	67.6514
419	67.8296
420	68.0278
421	67.7807
422	67.7384
423	67.6696
424	67.6967
425	67.6221
426	67.7688
427	67.7426
428	67.6795
429	67.7007
430	67.7084
431	67.8748
432	67.7008
433	67.6677
434	67.5322
435	67.6895
436	67.8394
437	67.9221
438	68.0415
439	67.6282
440	67.5798
441	67.7293
442	67.8704
443	67.7689
444	67.5268
445	67.7955
446	67.7673
447	67.5854
448	67.5999
449	67.6195
450	67.7616
451	67.5841
452	67.7693
453	67.5798
454	67.4708
455	67.6653
456	67.6608
457	67.467
458	67.432
459	67.5285
460	67.7117
461	67.5231
462	67.6626
463	67.4252
464	67.7239
465	68.1292
466	67.4662
467	67.5587
468	67.694
469	67.831
470	67.6025
471	67.4235
472	67.6627
473	67.9577
474	67.7503
475	68.0177
476	67.7326
477	67.6952
478	67.5662
479	67.8082
480	67.9426
481	67.9026
482	67.7044
483	67.6756
484	67.8771
485	67.8988
486	67.7111
487	67.8232
488	67.9884
489	67.8923
490	67.4938
491	67.601
492	67.728
493	67.6988
494	67.8621
495	67.8316
496	67.7951
497	67.45
498	67.4403
499	67.5851
500	67.7013
501	67.86
502	67.729
503	67.6099
504	67.7675
505	67.8342
506	67.9571
507	67.8059
508	67.7026
509	67.7764
510	67.8071
511	67.7582
512	67.6592
513	67.7559
514	67.6699
515	67.6669
516	67.8224
517	67.7401
518	67.6412
519	67.7803
520	67.547
521	67.6727
522	67.8857
523	67.6522
524	67.859
525	67.649
526	67.4997
527	67.8523
528	67.7301
529	67.806
530	68.0171
531	67.9497
532	67.9658
533	67.8418
534	67.7559
535	67.7553
536	67.4239
537	67.7755
538	67.6949
539	67.5468
540	67.7601
541	67.6001
542	67.5425
543	67.8345
544	67.6434
545	67.7986
546	68.0443
547	67.8634
548	67.6421
549	67.839
550	67.9316
551	67.8651
552	67.7422
553	67.7883
554	67.9566
555	67.781
556	67.7343
557	67.8207
558	67.8135
559	67.6663
560	68.047
561	67.6423
562	67.5996
563	67.6702
564	67.7168
565	67.7555
566	67.5431
567	67.5912
568	67.7176
569	67.5956
570	67.5524
571	67.5826
572	67.6865
573	67.6258
574	67.7132
575	67.6925
576	67.6876
577	67.6513
578	67.7453
579	67.6437
580	67.7723
581	67.7916
582	67.8295
583	67.6115
584	67.7066
585	67.3872
586	67.6262
587	67.5733
588	67.8
589	67.9532
590	67.8674
591	67.6762
592	67.5989
593	67.5626
594	67.7349
595	68.0189
596	68.1613
597	67.9186
598	67.8095
599	67.5909
600	67.7201
601	67.7437
602	67.7461
603	67.6225
604	67.6893
605	67.4251
606	67.5751
607	67.5199
608	67.5167
609	67.5351
610	67.5907
611	67.7982
612	67.9836
613	67.9671
614	67.8094
615	67.519
616	67.6135
617	67.5206
618	67.7282
619	68.0353
620	67.7209
621	67.7243
622	67.8462
623	67.738
624	67.6365
625	67.6039
626	68.1256
627	67.9753
628	67.8343
629	67.7215
630	67.509
631	67.5785
632	67.5088
633	67.4867
634	67.6557
635	67.7077
636	67.4393
637	67.4087
638	67.737
639	67.6785
640	67.7767
641	67.3397
642	67.5248
643	67.5902
644	67.5483
645	67.7317
646	67.5372
647	67.6001
648	67.8835
649	67.8433
650	67.6475
651	68.0036
652	67.7411
653	67.4728
654	67.6001
655	67.696
656	67.5308
657	67.672
658	67.5304
659	67.6858
660	67.7354
661	67.5927
662	67.8446
663	67.4634
664	67.8046
665	67.7901
666	67.6752
667	67.4387
668	67.8297
669	67.4731
670	67.4297
671	67.4937
672	67.5984
673	67.6484
674	67.4207
675	67.7104
676	67.7283
677	67.5121
678	67.4969
679	67.6211
680	67.4765
681	67.6844
682	67.7976
683	67.6839
684	67.4517
685	67.7396
686	67.643
687	67.6238
688	67.5402
689	67.6881
690	67.6497
691	67.7133
692	67.5602
693	67.4232
694	67.6333
695	67.5047
696	67.9182
697	67.7031
698	67.6664
699	67.7784
700	67.495
701	67.3709
702	67.5675
703	67.5315
704	67.89
705	67.6912
706	67.6974
707	67.6902
708	67.6291
709	67.3621
710	67.352
711	67.5632
712	67.6587
713	67.943
714	67.5378
715	67.6344
716	67.3961
717	67.468
718	67.5644
719	67.6965
720	67.5397
721	67.5215
722	67.6152
723	67.5368
724	67.6427
725	67.4082
726	67.4691
727	67.7144
728	67.5312
729	67.6303
730	67.5853
731	67.6892
732	67.5981
733	67.5361
734	67.5371
735	67.4697
736	67.5337
737	67.5694
738	67.6696
739	67.7162
740	67.5988
741	67.6612
742	67.764
743	67.77
744	67.5898
745	67.4966
746	67.549
747	67.5086
748	67.4437
749	67.92
750	67.7317
751	67.5812
752	67.7505
753	67.476
754	67.7125
755	67.321
756	67.5854
757	67.4623
758	67.3713
759	67.5985
760	67.8619
761	68.0237
762	67.7762
763	67.9277
764	67.8495
765	67.7159
766	67.844
767	67.6542
768	67.7487
769	67.3773
770	67.683
771	67.7375
772	67.5925
773	67.4799
774	67.6254
775	67.6714
776	67.5393
777	67.357
778	67.718
779	67.6255
780	67.6748
781	67.4148
782	67.6096
783	67.6617
784	67.6285
785	67.5646
786	67.5376
787	67.5957
788	67.7841
789	67.5824
790	67.5355
791	67.5082
792	67.4285
793	67.6306
794	67.5634
795	67.4664
796	67.7613
797	67.5184
798	67.5816
799	67.6972
800	67.4348
801	67.6905
802	67.7218
803	67.6137
804	67.5693
805	67.482
806	67.5868
807	67.5214
808	67.4932
809	67.6316
810	67.4905
811	67.5362
812	67.5155
813	67.4461
814	67.3792
815	67.3631
816	67.4408
817	67.7683
818	67.7566
819	67.6824
820	67.55
821	67.6491
822	67.7531
823	67.4194
824	67.4943
825	67.5115
826	67.5941
827	67.7419
828	67.8401
829	67.8226
830	67.615
831	67.6745
832	67.6378
833	67.6238
834	67.4788
835	67.4544
836	67.5728
837	67.6203
838	67.4444
839	67.5389
840	67.5824
841	67.4865
842	67.6195
843	67.8521
844	67.8232
845	67.7004
846	67.7306
847	67.6515
848	67.9144
849	67.5523
850	67.5893
851	67.4758
852	67.697
