Gen:	L_2
1	395.766
2	382.745
3	359.146
4	346.171
5	338.111
6	327.533
7	317.445
8	310.288
9	292.04
10	287.568
11	280.431
12	271.888
13	264.49
14	255.403
15	249.726
16	244.365
17	238.512
18	232.006
19	228.241
20	224.389
21	219.725
22	216.271
23	212.856
24	208.147
25	204.056
26	202.287
27	200.414
28	194.646
29	190.994
30	186.407
31	183.453
32	180.171
33	177.252
34	175.191
35	173.466
36	171.404
37	169.492
38	166.523
39	165.061
40	163.651
41	161.365
42	160.799
43	159.306
44	158.369
45	155.127
46	153.157
47	151.199
48	150.576
49	147.524
50	146.181
51	145.246
52	144.108
53	142.284
54	140.995
55	138.993
56	137.331
57	136.094
58	133.818
59	133.425
60	131.286
61	128.858
62	127.639
63	126.757
64	122.911
65	122.424
66	121.481
67	119.375
68	118.422
69	117.497
70	116.219
71	116.172
72	110.9
73	110.037
74	109.45
75	107.662
76	106.215
77	106.215
78	106.215
79	105.111
80	104.917
81	104.149
82	103.907
83	102.782
84	102.014
85	101.437
86	100.973
87	100.951
88	100.567
89	100.043
90	99.2962
91	98.633
92	97.9657
93	97.9632
94	97.365
95	96.8705
96	96.2432
97	96.0791
98	95.6624
99	93.8235
100	92.8709
101	91.9555
102	91.9555
103	91.7177
104	91.286
105	89.9434
106	88.9861
107	88.053
108	87.4019
109	87.1363
110	86.2417
111	85.6341
112	85.5106
113	85.5106
114	85.1897
115	85.0673
116	84.8512
117	84.8265
118	84.2267
119	84.0105
120	83.6046
121	83.4147
122	83.2482
123	83.153
124	83.1139
125	83.0452
126	83.006
127	82.5253
128	82.4175
129	82.4175
130	82.3156
131	82.3156
132	82.3156
133	81.8565
134	81.8565
135	81.7462
136	81.187
137	81.1317
138	80.6238
139	80.5685
140	80.5685
141	80.5345
142	80.5345
143	80.5345
144	79.9761
145	79.9096
146	79.9096
147	79.9096
148	79.9096
149	78.5292
150	78.5292
151	78.4755
152	78.4716
153	78.0428
154	77.9067
155	77.8117
156	77.1549
157	77.0662
158	77.0085
159	76.6081
160	76.5193
161	76.5193
162	76.4965
163	76.4965
164	75.9204
165	75.7084
166	75.4841
167	75.4841
168	75.1092
169	75.1092
170	75.1092
171	75.1092
172	75.1092
173	75.1092
174	74.8354
175	74.8354
176	74.7029
177	74.7029
178	74.7029
179	74.7029
180	74.7029
181	74.7029
182	74.3194
183	74.3194
184	74.3194
185	74.3194
186	74.3194
187	74.3194
188	74.3194
189	74.3194
190	74.3194
191	74.3194
192	74.3194
193	74.3194
194	74.3194
195	74.3194
196	74.3194
197	74.3194
198	74.3194
199	73.9406
200	73.9406
201	73.4125
202	73.4125
203	73.4125
204	73.3569
205	73.3569
206	73.3569
207	73.3569
208	73.3569
209	73.3569
210	73.3569
211	73.3569
212	73.3569
213	73.183
214	73.183
215	73.183
216	73.183
217	73.183
218	73.183
219	73.183
220	73.1271
221	73.1271
222	73.1271
223	73.1271
224	73.1271
225	72.7986
226	72.7986
227	72.7986
228	72.7986
229	72.7986
230	72.7986
231	72.7986
232	72.7986
233	72.7986
234	72.7986
235	72.7986
236	72.7986
237	72.7986
238	72.7986
239	72.7986
240	72.7986
241	72.7986
242	72.7986
243	72.7986
244	72.7986
245	72.7445
246	72.6941
247	72.6941
248	72.6941
249	72.6941
250	72.6941
251	72.6941
252	72.6941
253	72.6941
254	72.6941
255	72.6941
256	72.6941
257	72.6941
258	72.6941
259	72.6941
260	72.6941
261	72.6941
262	72.6941
263	72.6941
264	72.6941
265	72.6941
266	72.6941
267	72.6941
268	72.663
269	72.663
270	72.663
271	72.663
272	72.663
273	72.663
274	72.663
275	72.663
276	72.663
277	72.2347
278	72.2347
279	72.2347
280	72.2347
281	72.2347
282	72.2347
283	72.2347
284	72.2347
285	72.2347
286	72.2347
287	72.2347
288	72.2347
289	72.2347
290	72.2347
291	72.2347
292	72.2347
293	72.2347
294	72.2347
295	72.2347
296	72.2347
297	72.2347
298	72.2347
299	72.2347
300	72.2347
301	72.2347
302	72.2347
303	72.2347
304	72.2347
305	72.2347
306	72.2347
307	72.2347
308	72.2347
309	72.2347
310	72.2347
311	72.2347
312	72.2347
313	72.2347
314	72.2347
315	72.2347
316	72.2347
317	72.2347
318	72.2347
319	72.0672
320	72.0672
321	72.0672
322	72.0672
323	72.0631
324	71.3201
325	71.2464
326	70.8546
327	70.8546
328	70.8546
329	70.8546
330	70.8546
331	70.8546
332	70.8546
333	70.8546
334	70.8546
335	70.8546
336	70.8546
337	70.8546
338	70.8546
339	70.8546
340	70.8546
341	70.8546
342	70.8546
343	70.8546
344	70.8546
345	70.8546
346	70.8546
347	70.8546
348	70.8546
349	70.8546
350	70.8546
351	70.8546
352	70.8546
353	70.8546
354	70.8546
355	70.8546
356	70.8546
357	70.8546
358	70.8546
359	70.8546
360	67.0804
361	67.0804
362	67.0804
363	67.0804
364	67.0804
365	67.0728
366	67.0728
367	67.0728
368	67.0728
369	67.0728
370	67.0728
371	67.0728
372	67.0728
373	67.0728
374	67.0728
375	67.0728
376	67.0728
377	67.0728
378	67.0728
379	67.0728
380	67.0728
381	67.0728
382	67.0728
383	67.0728
384	67.0728
385	67.0728
386	67.0728
387	67.0152
388	67.0152
389	67.0152
390	67.0152
391	67.0152
392	67.0152
393	67.0152
394	67.0152
395	67.0152
396	67.0152
397	67.0152
398	67.0152
399	67.0152
400	67.0152
401	67.0152
402	67.0152
403	67.0152
404	67.0152
405	67.0152
406	67.0152
407	67.0152
408	67.0152
409	67.0152
410	67.0152
411	67.0152
412	67.0152
413	67.0152
414	67.0152
415	67.0152
416	67.0152
417	67.0152
418	67.0152
419	67.0152
420	67.0152
421	67.0152
422	67.0152
423	67.0152
424	67.0152
425	67.0152
426	67.0152
427	67.0152
428	67.0152
429	67.0152
430	67.0152
431	67.0152
432	67.0152
433	67.0152
434	67.0152
435	67.0152
436	67.0152
437	67.0152
438	67.0152
439	67.0152
440	67.0152
441	67.0152
442	67.0152
443	67.0152
444	67.0152
445	67.0152
446	67.0152
447	67.0152
448	67.0152
449	67.0152
450	67.0152
451	67.0152
452	67.0152
453	67.0152
454	67.0152
455	67.0152
456	67.0152
457	67.0152
458	67.0152
459	67.0152
460	67.0152
461	67.0152
462	67.0152
463	67.0152
464	67.0152
465	67.0152
466	67.0152
467	67.0152
468	67.0152
469	67.0152
470	67.0152
471	67.0152
472	67.0152
473	67.0152
474	67.0152
475	67.0152
476	67.0152
477	67.0152
478	67.0152
479	67.0152
480	67.0152
481	67.0152
482	67.0152
483	67.0152
484	67.0152
485	67.0152
486	67.0152
487	67.0152
488	67.0152
489	67.0152
490	67.0152
491	67.0152
492	67.0152
493	67.0152
494	67.0152
495	67.0152
496	67.0152
497	67.0152
498	67.0152
499	67.0152
500	67.0152
501	67.0152
502	67.0152
503	67.0152
504	67.0152
505	67.0152
506	67.0152
507	67.0152
508	67.0152
509	67.0152
510	67.0152
511	67.0152
512	67.0152
513	67.0152
514	67.0152
515	67.0152
516	67.0152
517	67.0152
518	67.0152
519	67.0152
520	67.0152
521	67.0152
522	67.0152
523	67.0152
524	67.0152
525	67.0152
526	67.0152
527	67.0152
528	67.0152
529	67.0152
530	67.0152
531	67.0152
532	67.0152
533	67.0152
534	67.0152
535	67.0152
536	67.0152
537	67.0152
538	67.0152
539	67.0152
540	67.0152
541	67.0152
542	67.0152
543	67.0152
544	67.0152
545	67.0152
546	67.0152
547	67.0152
548	67.0152
549	67.0152
550	67.0152
551	67.0152
552	67.0152
553	67.0152
554	67.0152
555	67.0152
556	67.0152
557	67.0152
558	67.0152
559	67.0152
560	67.0152
561	67.0152
562	67.0152
563	67.0152
564	67.0152
565	67.0152
566	67.0152
567	67.0152
568	67.0152
569	67.0152
570	67.0152
571	67.0152
572	67.0152
573	67.0152
574	67.0152
575	67.0152
576	67.0152
577	67.0152
578	67.0152
579	67.0152
580	67.0152
581	67.0152
582	67.0152
583	67.0152
584	67.0152
585	67.0152
586	67.0152
587	67.0152
588	67.0152
589	67.0152
590	67.0152
591	67.0152
592	67.0152
593	67.0152
594	67.0152
595	67.0152
596	67.0152
597	67.0152
598	67.0152
599	67.0152
600	67.0152
601	67.0152
602	67.0152
603	67.0152
604	67.0152
605	67.0152
606	67.0152
607	67.0152
608	67.0152
609	67.0152
610	67.0152
611	67.0152
612	67.0152
613	67.0152
614	67.0152
615	67.0152
616	67.0152
617	67.0152
618	67.0152
619	67.0152
620	67.0152
621	67.0152
622	67.0152
623	67.0152
624	67.0152
625	67.0152
626	67.0152
627	66.9209
628	66.9209
629	66.9209
630	66.9209
631	66.9209
632	66.9209
633	66.9209
634	66.9209
635	66.9209
636	66.9209
637	66.9209
638	66.9209
639	66.9209
640	66.9209
641	66.9209
642	66.9209
643	66.9209
644	66.9209
645	66.9209
646	66.9209
647	66.9209
648	66.9209
649	66.9209
650	66.9209
651	66.9209
652	66.9209
653	66.9209
654	66.9209
655	66.9209
656	66.9209
657	66.9209
658	66.9209
659	66.9209
660	66.9209
661	66.9209
662	66.9209
663	66.9209
664	66.9209
665	66.9209
666	66.9209
667	66.9209
668	66.9209
669	66.9209
670	66.9209
671	66.9209
672	66.9209
673	66.9209
674	66.9209
675	66.9209
676	66.9209
677	66.9209
678	66.9209
679	66.9209
680	66.9209
681	66.9209
682	66.9209
683	66.9209
684	66.9209
685	66.9209
686	66.9209
687	66.9209
688	66.9209
689	66.9209
690	66.9209
691	66.9209
692	66.9209
693	66.9209
694	66.9209
695	66.9209
696	66.9209
697	66.9209
698	66.9209
699	66.9209
700	66.9209
701	66.9209
702	66.9209
703	66.9209
704	66.9209
705	66.9209
706	66.9209
707	66.9209
708	66.9209
709	66.9209
710	66.9209
711	66.9209
712	66.9209
713	66.9209
714	66.9209
715	66.9209
716	66.9209
717	66.9209
718	66.9209
719	66.9209
720	66.9209
721	66.9209
722	66.9209
723	66.9209
724	66.9209
725	66.9209
726	66.9209
727	66.9209
728	66.9209
729	66.9209
730	66.9209
731	66.9209
732	66.9209
733	66.9209
734	66.9209
735	66.9209
736	66.9209
737	66.9209
738	66.9209
739	66.9209
740	66.9209
741	66.9209
742	66.9209
743	66.9209
744	66.9209
745	66.9209
746	66.9209
747	66.9209
748	66.9209
749	66.9209
750	66.9209
751	66.9209
752	66.9209
753	66.9209
754	66.9209
755	66.9209
756	66.9209
757	66.9209
758	66.9209
759	66.9209
760	66.9209
761	66.9209
762	66.9209
763	66.9209
764	66.9209
765	66.9209
766	66.9209
767	66.9209
768	66.9209
769	66.9209
770	66.9209
771	66.9209
772	66.9209
773	66.9209
774	66.9209
775	66.9209
776	66.9209
777	66.9209
778	66.9209
779	66.9209
780	66.9209
781	66.9209
782	66.9209
783	66.9209
784	66.9209
785	66.9209
786	66.9209
787	66.9209
788	66.9209
789	66.9209
790	66.9209
791	66.9209
792	66.9209
793	66.9209
794	66.9209
795	66.9209
796	66.9209
797	66.9209
798	66.9209
799	66.9209
800	66.9209
801	66.9209
802	66.9209
803	66.9209
804	66.9209
805	66.9209
806	66.9209
807	66.9209
808	66.9209
809	66.9209
810	66.9209
811	66.9209
812	66.9209
813	66.9209
814	66.9209
815	66.9209
816	66.9209
817	66.9209
818	66.9209
819	66.9209
820	66.9209
821	66.9209
822	66.9209
823	66.9209
824	66.9209
825	66.9209
826	66.9209
827	66.9209
828	66.9209
829	66.9209
830	66.9209
831	66.9209
832	66.9209
833	66.9209
834	66.9209
835	66.9209
836	66.9209
837	66.9209
838	66.9209
839	66.9209
840	66.9209
841	66.9209
842	66.9209
843	66.9209
844	66.9209
845	66.9209
846	66.9209
847	66.9209
848	66.9209
849	66.9209
850	66.9209
851	66.9209
852	66.9209
853	66.9209
854	66.9209
855	66.9209
856	66.9209
857	66.9209
858	66.9209
859	66.9209
860	66.9209
861	66.9209
862	66.9209
863	66.9209
864	66.9209
865	66.9209
866	66.9209
867	66.9209
868	66.9209
869	66.9209
870	66.9209
871	66.9209
872	66.9209
873	66.9209
874	66.9209
875	66.9209
876	66.9209
877	66.9209
878	66.9209
879	66.9209
880	66.9209
881	66.9209
882	66.9209
883	66.9209
884	66.9209
885	66.9209
886	66.9209
887	66.9209
888	66.9209
889	66.9209
890	66.9209
891	66.9209
892	66.9209
893	66.9209
894	66.9209
895	66.9209
896	66.9209
897	66.9209
898	66.9209
899	66.9209
900	66.9209
901	66.9209
902	66.9209
903	66.9209
904	66.9209
905	66.9209
906	66.9209
907	66.9209
908	66.9209
909	66.9209
910	66.9209
911	66.9209
912	66.9209
913	66.9209
914	66.9209
915	66.9209
916	66.9209
917	66.9209
918	66.9209
919	66.9209
920	66.9209
921	66.9209
922	66.9209
923	66.9209
924	66.9209
925	66.9209
926	66.9209
927	66.9209
928	66.9209
929	66.9209
930	66.9209
931	66.9209
932	66.9209
933	66.9209
934	66.9209
935	66.9209
936	66.9209
937	66.9209
938	66.9209
939	66.9209
940	66.9209
941	66.9209
942	66.9209
943	66.9209
944	66.9209
945	66.9209
946	66.9209
947	66.9209
