#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -3.370844e+00   -3.370844e+00    0.000000e+00
           2   -3.370027e+00   -3.370436e+00    2.886878e-04
           3   -3.368981e+00   -3.369951e+00    4.401130e-04
           4   -3.371708e+00   -3.370390e+00    5.036486e-04
           5   -3.370526e+00   -3.370417e+00    4.036497e-04
           6   -3.372406e+00   -3.370749e+00    4.524717e-04
           7   -3.372966e+00   -3.371066e+00    4.862374e-04
           8   -3.370606e+00   -3.371008e+00    4.288434e-04
           9   -3.370325e+00   -3.370932e+00    3.878602e-04
          10   -3.371529e+00   -3.370992e+00    3.536304e-04
          11   -3.371733e+00   -3.371059e+00    3.278483e-04
          12   -3.370279e+00   -3.370994e+00    3.069033e-04
          13   -3.368885e+00   -3.370832e+00    3.233393e-04
          14   -3.371023e+00   -3.370846e+00    3.005318e-04
          15   -3.370798e+00   -3.370842e+00    2.805133e-04
          16   -3.370099e+00   -3.370796e+00    2.668001e-04
          17   -3.372677e+00   -3.370907e+00    2.730945e-04
          18   -3.372725e+00   -3.371008e+00    2.759659e-04
          19   -3.371578e+00   -3.371038e+00    2.630675e-04
          20   -3.370759e+00   -3.371024e+00    2.502835e-04
          21   -3.370960e+00   -3.371021e+00    2.383836e-04
          22   -3.372275e+00   -3.371078e+00    2.342704e-04
          23   -3.370916e+00   -3.371071e+00    2.241900e-04
          24   -3.371150e+00   -3.371074e+00    2.148729e-04
          25   -3.371836e+00   -3.371104e+00    2.084303e-04
