#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -5.107941e+00   -5.107941e+00    0.000000e+00
           2   -5.033204e+00   -5.070572e+00    2.642333e-02
           3   -4.996885e+00   -5.046010e+00    2.669307e-02
           4   -5.031918e+00   -5.042487e+00    2.025096e-02
           5   -4.994908e+00   -5.032971e+00    1.830038e-02
           6   -5.006955e+00   -5.028635e+00    1.575561e-02
           7   -5.016405e+00   -5.026888e+00    1.360133e-02
           8   -5.030626e+00   -5.027355e+00    1.190919e-02
           9   -5.030310e+00   -5.027684e+00    1.059047e-02
          10   -5.055511e+00   -5.030466e+00    9.890272e-03
          11   -5.040561e+00   -5.031384e+00    9.033631e-03
          12   -5.043292e+00   -5.032376e+00    8.335155e-03
          13   -4.987827e+00   -5.028949e+00    8.368835e-03
          14   -5.041406e+00   -5.029839e+00    7.818219e-03
          15   -5.008483e+00   -5.028416e+00    7.425506e-03
          16   -5.012497e+00   -5.027421e+00    7.027745e-03
          17   -5.036487e+00   -5.027954e+00    6.634555e-03
          18   -5.014179e+00   -5.027189e+00    6.309951e-03
          19   -5.011606e+00   -5.026369e+00    6.030912e-03
          20   -5.008439e+00   -5.025472e+00    5.795611e-03
          21   -5.010411e+00   -5.024755e+00    5.563827e-03
          22   -5.021738e+00   -5.024618e+00    5.312615e-03
          23   -5.006085e+00   -5.023812e+00    5.142373e-03
          24   -5.056068e+00   -5.025156e+00    5.100718e-03
          25   -5.023202e+00   -5.025078e+00    4.897288e-03
