x	y	z
-0.705081	-1.6718	-3.56482
-0.5138	0.948131	1.68436
-0	-0	-0
3.67102	-0.511836	1.50388
6.37998	2.67199	-4.01949
-0	0	0
-5.07986	10.1515	18.8452
-4.4941	9.04381	-6.48171
-4.67895	3.31016	-14.9382
-1.1461	0.723409	1.47076
0.696149	0.395239	-3.91908
0	0	-0
6.27095	2.40133	-4.34842
-1.75866	1.38699	5.56627
-4.67229	2.86272	2.44429
-1.11124	2.32395	11.7203
-0.988385	0.257191	1.71958
-1.63472	1.15015	9.79821
-1.87604	-4.19093	-17.4045
3.08418	5.14344	-5.29461
2.45982	1.02932	-2.98158
-1.76888	-1.13081	3.40475
10.7191	-2.53828	-8.64043
-0.131497	1.5306	-1.28062
4.75204	-1.93253	6.13869
9.20315	0.345666	7.69302
-7.37835	13.0523	-5.5855
0.0746737	-1.02327	-1.71678
1.31686	-2.45944	-5.31197
-0.135529	-0.230149	-15.9978
-0.492931	2.65749	-7.52959
-0.203301	0.888703	1.78013
-5.83311	-1.38915	0.212235
-5.50456	5.60233	1.52108
-0.354289	1.16684	1.58523
0.953625	0.718688	-1.6044
-3.9747	-0.0892066	0.440246
-0.198217	1.92817	0.492812
-0	0	0
-1.9725	-3.47827	0.104205
4.49352	-3.20148	-5.79299
-1.14718	-0.367023	-1.59665
0.61399	8.8578	8.07232
1.10289	-3.4324	-11.4456
2.60614	2.70252	-4.68022
6.38182	-3.83433	2.92752
0.0526896	0.260779	5.9941
1.09288	3.66742	-1.16432
-3.40164	-0.53568	-2.03516
1.29654	0.986691	-1.15992
-4.99906	-1.1271	6.14321
-1.28641	-0.684134	-17.9409
-0.519633	-1.28461	-1.44214
20.1747	16.3116	-1.70734
6.2347	-3.01101	4.00778
-1.68598	-0.149596	1.06541
-0.00290632	-0.014497	5.99998
-0.767759	0.177873	1.83818
-5.23686	2.74271	-1.02608
2.26953	-0.922804	-5.47701
0.37524	-19.8549	-2.37541
6.55912	7.18473	-7.0255
1.66758	1.49699	9.74568
-2.85255	8.22605	8.25803
1.80814	2.54023	2.50556
-1.84823	0.731806	0.220277
-4.26372	0.967773	-6.69956
0.00733537	-0.0895167	-1.99798
2.05881	3.56147	9.11467
2.15157	0.701336	3.29831
-2.88652	-6.0231	7.44246
8.49192	3.58488	3.87761
-1.88443	0.462393	-11.8421
-4.14832	1.46867	-4.07853
3.77564	-6.90515	-6.16956
0	-0	-0
-0.847827	1.63859	-0.772157
-2.2839	1.6382	-11.6662
-0.211055	3.98599	-0.259565
-0.536082	-3.32847	9.41456
-6.62597	2.8028	6.94556
4.76931	-2.82625	-2.29476
0.236192	-0.165147	-1.97913
-15.136	1.6642	12.9665
-6.52431	-0.788603	-7.53734
-2.50745	-1.5377	-2.71075
7.94518	8.88824	7.33984
0.00702597	0.276607	-13.9973
0.167461	-1.96035	0.359171
5.75403	-3.54338	-14.5029
8.17566	29.6297	8.90177
-0.948032	-7.1359	14.2892
8.11773	-13.3772	-3.3396
-0	0	0
-0.372214	0.173471	-11.993
6.47988	9.86781	-2.15348
15.5962	-20.3357	-4.38361
-0.727559	0.280983	1.84166
-1.35998	-1.86029	-3.26952
-3.45918	0.648494	-4.85937
4.53073	6.61204	-11.4784
-2.48058	-1.79382	2.57468
0.0229934	0.0319465	-1.99961
6.06791	1.71382	12.4997
-0.712044	-6.65712	4.37902
3.39307	-1.17804	1.76049
-0.21348	-0.129928	-9.99688
-0.983212	-1.6247	3.52046
-0.169758	-0.38554	-1.95513
1.1823	-5.25946	-2.63444
-12.747	-1.96948	-5.44381
1.95957	-0.322404	0.236964
-5.95742	-0.0723829	0.709905
-0.699333	-0.0496967	3.93808
-1.86251	-7.76731	11.4978
-2.76851	-2.96834	4.41864
0	0	-0
-5.21797	-9.73928	14.2098
-3.46925	-7.47768	8.72059
-4.85302	4.70524	-9.91508
2.73661	-2.85762	0.58735
0.125453	15.4958	-3.98289
-0.0400009	0.5595	-3.96047
2.84937	-12.9243	8.9913
0.403513	1.84122	-0.668647
0.309629	0.436658	-3.96402
7.40193	8.93913	3.05015
7.59303	-8.73379	-3.17284
1.09043	-11.8257	1.7216
-0.660283	0.529437	7.95511
-0.874292	-0.210964	-3.89758
-1.67395	5.64834	1.13759
-0	0	0
3.41818	-1.95272	0.709182
-2.02109	-1.99172	5.28661
5.37086	-0.346227	-5.91895
-5.07055	0.350724	3.1885
3.22164	1.73802	4.75398
0.844525	-11.4674	3.43298
-1.15384	-4.11499	6.76281
0.5888	-4.5296	-11.0967
-0.172337	-0.786831	3.91806
0.137269	0.342959	3.98291
6.55094	-1.28307	16.7164
5.23451	-0.623825	2.86544
0.55235	-1.07313	1.59478
-0	-0	-0
-1.99508	0.140145	-0.00470955
-6.40983	11.6959	14.9037
-2.88204	8.70604	7.73942
-0.828648	-1.77505	-0.403171
-4.70702	8.45839	-12.7397
6.80589	6.37409	3.61261
0.165735	0.599625	-7.97577
-3.07261	5.01706	1.17824
1.89551	0.61474	0.170688
0.0016107	0.00818603	1.99998
1.74721	0.972713	0.0328986
0.809649	0.0036398	1.82879
-5.93916	-0.724273	0.449256
4.11423	3.41632	-15.0798
1.73181	9.83189	0.578641
5.34691	-12.0191	4.7907
-2.75468	-5.93774	-12.3756
5.1599	-5.39836	-18.5535
-0	0	-0
2.38493	8.52806	-15.6711
-3.56366	1.33796	-7.03635
-12.3161	4.98433	-8.91467
7.67151	-9.21749	0.431209
0.666355	-0.290995	3.93336
5.698	-1.77916	0.606146
7.9914	0.21011	-0.305482
-13.2034	13.551	-6.48396
-1.5141	0.821139	-1.01647
-5.71844	1.26221	5.45035
3.03979	-2.29554	-1.22074
0.191944	-0.228467	-1.97761
-8.81763	5.85411	5.65498
-0.939841	-0.318901	-3.87492
0.453651	-1.28157	-1.46689
0.775856	0.121354	-1.83938
5.63251	2.49576	-10.2979
-0.375894	0.554633	-1.88443
-3.53684	-7.21552	-11.4642
12.4449	22.4563	-4.10342
8.30518	15.9299	1.12392
1.69998	0.871645	13.869
-0.704772	-1.56201	3.61434
-0.356423	0.879319	3.88584
-3.01657	1.66491	7.22
5.68821	5.04587	-2.48665
5.45111	1.34027	8.27581
1.50305	0.907601	-3.59404
-2.97366	0.213486	-5.2069
-0.0659927	9.87515	-1.57384
3.04463	2.23045	1.32489
-1.51705	0.526815	-15.9192
0	-0	-0
-5.17242	2.96023	-0.695045
1.91898	0.489661	-7.75098
-11.0745	-9.84762	-6.03161
-1.83088	3.39038	9.22785
-2.80541	-2.62418	7.01736
1.24353	-0.273996	1.54225
1.95354	-9.8034	-0.277374
-1.95183	-5.22864	-2.20264
-0.740156	6.20338	4.99703
1.92938	-2.68296	-2.25371
-0.738056	-0.0192503	-1.85874
-0	-0	0
-4.96646	-7.28657	8.13881
-3.18024	-2.19481	-7.00492
-3.07233	7.12143	1.96114
-1.10442	0.729948	-1.49915
-1.14048	4.79371	3.4234
2.90552	2.66791	0.66345
1.13601	-0.15001	5.88957
1.88551	-5.08232	-2.57194
1.96421	-3.60494	6.86632
-0.589967	9.35744	3.47711
-8.2498	5.48275	1.37119
-0.744246	7.03106	-3.74304
0.0891936	-0.120694	11.9991
-7.0414	3.38487	1.72087
3.88678	8.24761	-4.10729
1.10685	2.46963	2.94548
1.93918	2.01832	7.4944
-0.0423005	0.224212	7.99675
0.339469	0.720381	3.91992
1.50208	-2.36213	9.60021
0.538006	2.24327	3.26776
3.45753	-8.74319	3.40619
2.61955	-11.6055	1.56552
1.52315	1.49257	-3.38412
3.8322	0.112827	1.14083
-0.617462	-2.39674	5.46574
-2.95674	-2.83077	4.38685
-1.25011	-0.903197	-1.27336
-10.4927	-3.35682	11.6033
-0	0	0
-5.90659	9.83046	3.53188
0	0	-0
-0.0395634	0.182197	-3.99565
-1.631	-0.963639	-0.641286
0.489431	-0.474742	7.97089
2.14148	10.6329	11.7624
1.70194	-0.355068	3.60241
-0.820992	-7.47961	2.71687
0.0352444	-1.98095	-0.273105
-2.74025	2.41556	7.11731
3.79088	0.259488	-1.24976
-0.169167	-1.98433	0.183896
-0.00204967	-0.0467207	9.99989
-2.34794	-5.63537	5.17009
-6.15272	2.20432	10.064
-2.31462	-8.17505	-8.47414
1.1443	0.364949	5.87855
9.25312	-1.8515	-3.30935
0.632976	13.7475	-2.5699
0	0	0
7.85701	-10.9347	3.83403
0.0118397	-2.30287	3.27057
0.567312	3.71884	1.35955
-2.21039	-2.68939	-9.37451
-0.43369	-7.04731	-9.70295
0.391062	-4.25363	-4.21352
2.84013	-11.5809	-1.34801
6.7153	3.69015	-2.29946
-5.73573	-1.59758	-0.741067
-0	-0	0
11.3969	16.1299	-3.1524
5.74951	0.602784	-1.60617
-6.17141	2.14982	7.56914
-6.66372	-1.53894	4.15048
-4.12986	3.33825	-2.79291
-0.295854	3.12294	5.11465
0	-0	-0
-0.59693	3.60543	-4.75863
0.992817	-0.333551	9.945
-1.61422	2.52335	-2.65085
-0.387723	-1.04625	-5.89534
1.98151	-0.233422	-0.138249
0.546729	-0.645026	-7.95519
4.49234	-7.04903	-5.48908
-3.05753	6.32619	-9.72784
-0	0	-0
-7.80592	2.64327	8.72242
-0.774763	-1.10954	-3.76413
7.79109	-5.30496	-3.34011
10.6632	18.4141	-5.58738
4.08874	5.35524	9.92993
1.13211	-1.55899	7.76453
-0	0	0
6.75575	6.02543	4.249
0.0206523	-0.219639	1.9878
0	0	-0
-14.2396	-9.47318	5.61192
-0.121521	0.659501	1.88422
5.37798	-7.2796	7.87938
7.8077	0.893969	-1.49685
-11.295	1.61635	-3.71617
5.18428	8.21092	-15.156
-12.7693	7.95757	21.2043
0.0802942	0.0800809	-15.9996
-0.128133	-4.8229	-13.1424
5.37733	17.0216	2.31315
-1.04281	-3.81895	0.572877
-7.37035	-2.85469	-1.23638
-0.145625	-0.382877	-1.9576
0.337862	-0.163045	-7.9912
-0.297125	0.356906	-7.98651
2.07352	1.58837	-5.40163
-16.081	11.2872	3.74166
2.80253	-1.9203	9.40523
