#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.947671e+01    1.947671e+01    0.000000e+00
           2    2.045233e+01    1.996452e+01    3.449323e-01
           3    1.927545e+01    1.973483e+01    2.967341e-01
           4    1.940118e+01    1.965141e+01    2.339806e-01
           5    2.138767e+01    1.999867e+01    3.626356e-01
           6    1.890347e+01    1.981613e+01    3.450908e-01
           7    1.893125e+01    1.968972e+01    3.181040e-01
           8    1.823436e+01    1.950780e+01    3.262390e-01
           9    1.846533e+01    1.939197e+01    3.098713e-01
          10    2.035560e+01    1.948833e+01    2.934853e-01
          11    1.920629e+01    1.946269e+01    2.679225e-01
          12    2.028752e+01    1.953143e+01    2.542599e-01
          13    2.004636e+01    1.957104e+01    2.377668e-01
          14    1.792921e+01    1.945377e+01    2.480244e-01
          15    1.801998e+01    1.935818e+01    2.492286e-01
          16    1.972754e+01    1.938126e+01    2.347185e-01
          17    1.969969e+01    1.940000e+01    2.216577e-01
          18    1.814331e+01    1.933018e+01    2.200639e-01
          19    2.042894e+01    1.938801e+01    2.159464e-01
          20    2.004402e+01    1.942081e+01    2.076251e-01
          21    1.917341e+01    1.940903e+01    1.980722e-01
          22    1.943973e+01    1.941042e+01    1.890738e-01
          23    1.913969e+01    1.939865e+01    1.812193e-01
          24    1.731603e+01    1.931188e+01    1.933314e-01
          25    1.930934e+01    1.931178e+01    1.855982e-01
