#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    9.411800e-02    9.411800e-02    0.000000e+00
           2    2.524600e-02    5.968200e-02    2.434993e-02
           3    1.791200e-02    4.575867e-02    1.981815e-02
           4    6.954600e-02    5.170550e-02    1.573056e-02
           5   -1.252000e-02    3.886040e-02    1.704012e-02
           6    8.858000e-03    3.386000e-02    1.491575e-02
           7   -6.119800e-02    2.028029e-02    1.793095e-02
           8    1.668000e-02    1.983025e-02    1.569523e-02
           9   -2.980000e-04    1.759378e-02    1.410975e-02
          10    3.633400e-02    1.946780e-02    1.282263e-02
          11   -6.844000e-03    1.707582e-02    1.187794e-02
          12   -5.176400e-02    1.133917e-02    1.219499e-02
          13   -1.413000e-02    9.380000e-03    1.141320e-02
          14   -5.513200e-02    4.772000e-03    1.149060e-02
          15    2.328800e-02    6.006400e-03    1.079066e-02
          16   -8.324000e-03    5.110750e-03    1.015335e-02
          17   -1.158000e-03    4.742000e-03    9.562788e-03
          18   -4.160000e-03    4.247444e-03    9.044302e-03
          19   -1.293000e-02    3.343368e-03    8.613353e-03
          20   -2.829000e-02    1.761700e-03    8.326640e-03
          21    4.340000e-03    1.884476e-03    7.931039e-03
          22   -3.407400e-02    2.500000e-04    7.737125e-03
          23    4.764400e-02    2.310609e-03    7.670220e-03
          24   -3.218400e-02    8.733333e-04    7.484077e-03
          25   -1.152420e-01   -3.771280e-03    8.504684e-03
