#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    2.654864e+01    2.654864e+01    0.000000e+00
           2    2.235091e+01    2.444977e+01    1.484123e+00
           3    2.344910e+01    2.411622e+01    1.026215e+00
           4    2.646284e+01    2.470287e+01    9.222264e-01
           5    2.560979e+01    2.488425e+01    7.554078e-01
           6    2.588158e+01    2.505047e+01    6.475360e-01
           7    2.389299e+01    2.488512e+01    5.757564e-01
           8    2.501087e+01    2.490084e+01    5.040014e-01
           9    2.355273e+01    2.475105e+01    4.697330e-01
          10    2.394227e+01    2.467017e+01    4.296660e-01
          11    2.378165e+01    2.458940e+01    3.981257e-01
          12    2.317243e+01    2.447132e+01    3.820582e-01
          13    2.276765e+01    2.434026e+01    3.744714e-01
          14    2.169950e+01    2.415164e+01    3.923645e-01
          15    2.316348e+01    2.408576e+01    3.716961e-01
          16    2.425917e+01    2.409660e+01    3.486230e-01
          17    2.313015e+01    2.403975e+01    3.327187e-01
          18    2.367875e+01    2.401969e+01    3.148382e-01
          19    2.564438e+01    2.410520e+01    3.096623e-01
          20    2.197373e+01    2.399863e+01    3.119798e-01
          21    2.403532e+01    2.400038e+01    2.971285e-01
          22    2.521417e+01    2.405555e+01    2.886996e-01
          23    2.472993e+01    2.408487e+01    2.776323e-01
          24    2.620564e+01    2.417324e+01    2.797737e-01
          25    2.373156e+01    2.415557e+01    2.691399e-01
          26    2.444353e+01    2.416664e+01    2.590162e-01
          27    2.457795e+01    2.418188e+01    2.498706e-01
          28    2.534300e+01    2.422335e+01    2.443635e-01
          29    2.538836e+01    2.426352e+01    2.392165e-01
          30    2.343746e+01    2.423598e+01    2.328220e-01
