#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    3.980280e-01    3.980280e-01    0.000000e+00
           2    3.254140e-01    3.617210e-01    2.567293e-02
           3    3.415680e-01    3.550033e-01    1.797269e-02
           4    4.248760e-01    3.724715e-01    2.026203e-02
           5    3.741260e-01    3.728024e-01    1.621233e-02
           6    4.132280e-01    3.795400e-01    1.484442e-02
           7    3.572640e-01    3.763577e-01    1.306044e-02
           8    3.768840e-01    3.764235e-01    1.142805e-02
           9    3.731180e-01    3.760562e-01    1.016417e-02
          10    3.173700e-01    3.701876e-01    1.070878e-02
          11    3.610660e-01    3.693584e-01    9.767309e-03
          12    3.182420e-01    3.650987e-01    9.838481e-03
          13    3.443800e-01    3.635049e-01    9.209856e-03
          14    3.225740e-01    3.605813e-01    9.004109e-03
          15    2.956520e-01    3.562527e-01    9.386813e-03
          16    3.452560e-01    3.555654e-01    8.825262e-03
          17    3.606080e-01    3.558620e-01    8.311113e-03
          18    3.587440e-01    3.560221e-01    7.850926e-03
          19    3.636620e-01    3.564242e-01    7.448010e-03
          20    3.233420e-01    3.547701e-01    7.256964e-03
          21    3.307260e-01    3.536251e-01    7.001133e-03
          22    3.779680e-01    3.547316e-01    6.769773e-03
          23    3.831780e-01    3.559684e-01    6.587444e-03
          24    4.061500e-01    3.580593e-01    6.636509e-03
          25    3.307960e-01    3.569688e-01    6.460028e-03
          26    3.400080e-01    3.563165e-01    6.244415e-03
          27    3.699680e-01    3.568221e-01    6.033575e-03
          28    2.952480e-01    3.546230e-01    6.205916e-03
          29    3.791860e-01    3.554700e-01    6.049443e-03
          30    3.187260e-01    3.542452e-01    5.970497e-03
