#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.836800e-02    1.836800e-02    0.000000e+00
           2    2.432800e-02    2.134800e-02    2.107178e-03
           3    2.719800e-02    2.329800e-02    2.123305e-03
           4   -2.229000e-02    1.190100e-02    9.997734e-03
           5   -2.933200e-02    3.654400e-03    1.088008e-02
           6    9.512000e-03    4.630667e-03    9.110428e-03
           7   -1.072800e-02    2.436571e-03    8.068819e-03
           8    3.566200e-02    6.589750e-03    8.058501e-03
           9   -6.918000e-03    5.088889e-03    7.301539e-03
          10   -5.938000e-03    3.986200e-03    6.654129e-03
          11   -1.338000e-02    2.407455e-03    6.233681e-03
          12    6.428000e-03    2.742500e-03    5.723204e-03
          13    1.705000e-02    3.843077e-03    5.387739e-03
          14    1.976000e-03    3.709714e-03    5.004551e-03
          15   -1.921200e-02    2.181600e-03    4.898663e-03
          16    1.172400e-02    2.778000e-03    4.628659e-03
          17   -2.818000e-02    9.569412e-04    4.700986e-03
          18   -1.954000e-02   -1.817778e-04    4.575658e-03
          19   -1.426200e-02   -9.228421e-04    4.394435e-03
          20   -8.856000e-03   -1.319500e-03    4.192577e-03
          21    7.382000e-03   -9.051429e-04    4.013354e-03
          22   -4.235000e-02   -2.789000e-03    4.250132e-03
          23    1.221000e-02   -2.136870e-03    4.115070e-03
          24    4.322200e-02   -2.469167e-04    4.356046e-03
          25   -4.860000e-04   -2.564800e-04    4.181815e-03
