#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.069675e+00    1.069675e+00    0.000000e+00
           2    1.057856e+00    1.063765e+00    4.178530e-03
           3    1.092667e+00    1.073399e+00    8.344649e-03
           4    1.062932e+00    1.070782e+00    6.656180e-03
           5    1.056827e+00    1.067991e+00    5.881094e-03
           6    1.051543e+00    1.065250e+00    5.502850e-03
           7    1.095259e+00    1.069537e+00    6.164439e-03
           8    1.056295e+00    1.067882e+00    5.611704e-03
           9    1.080308e+00    1.069262e+00    5.155230e-03
          10    1.075890e+00    1.069925e+00    4.682115e-03
          11    1.114085e+00    1.073940e+00    5.724438e-03
          12    1.102841e+00    1.076348e+00    5.731705e-03
          13    1.057918e+00    1.074930e+00    5.463315e-03
          14    1.067244e+00    1.074381e+00    5.100587e-03
          15    1.066615e+00    1.073864e+00    4.786754e-03
          16    1.081022e+00    1.074311e+00    4.508443e-03
          17    1.100156e+00    1.075831e+00    4.492271e-03
          18    1.074373e+00    1.075750e+00    4.243431e-03
          19    1.065849e+00    1.075229e+00    4.051965e-03
          20    1.083932e+00    1.075664e+00    3.872664e-03
          21    1.074571e+00    1.075612e+00    3.688601e-03
          22    1.061511e+00    1.074971e+00    3.576193e-03
          23    1.102199e+00    1.076155e+00    3.611333e-03
          24    1.062137e+00    1.075571e+00    3.507778e-03
          25    1.080900e+00    1.075784e+00    3.373936e-03
