#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.028000e-03    1.028000e-03    0.000000e+00
           2    2.888000e-03    1.958000e-03    6.576093e-04
           3    3.980000e-04    1.438000e-03    6.103005e-04
           4   -1.822000e-03    6.230000e-04    8.412379e-04
           5   -4.638000e-03   -4.292000e-04    1.156986e-03
           6   -7.930000e-03   -1.679333e-03    1.493973e-03
           7   -6.900000e-04   -1.538000e-03    1.287216e-03
           8    5.116000e-03   -7.062500e-04    1.368910e-03
           9    5.090000e-03   -6.222222e-05    1.359894e-03
          10    4.364000e-03    3.804000e-04    1.293934e-03
          11   -6.486000e-03   -2.438182e-04    1.318300e-03
          12   -1.244000e-03   -3.271667e-04    1.211074e-03
          13    5.702000e-03    1.366154e-04    1.203445e-03
          14    6.350000e-03    5.804286e-04    1.196526e-03
          15   -3.850000e-03    2.850667e-04    1.152636e-03
          16    6.222000e-03    6.561250e-04    1.138757e-03
          17   -1.124000e-03    5.514118e-04    1.076575e-03
          18    1.918000e-03    6.273333e-04    1.019439e-03
          19   -3.940000e-03    3.869474e-04    9.937216e-04
          20   -5.984000e-03    6.840000e-05    9.937816e-04
          21   -2.216000e-03   -4.038095e-05    9.523937e-04
          22   -9.400000e-03   -4.658182e-04    9.996190e-04
          23    3.814000e-03   -2.797391e-04    9.733225e-04
          24    2.084000e-03   -1.812500e-04    9.377372e-04
          25    4.108000e-03   -9.680000e-06    9.157885e-04
