#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    3.308637e-03    3.308637e-03    0.000000e+00
           2    3.318982e-03    3.313810e-03    3.657501e-06
           3    3.295480e-03    3.307700e-03    5.552858e-06
           4    3.242870e-03    3.291492e-03    1.464078e-05
           5    3.254202e-03    3.284034e-03    1.347904e-05
           6    3.269245e-03    3.281569e-03    1.145569e-05
           7    3.199382e-03    3.269828e-03    1.464835e-05
           8    3.292055e-03    3.272607e-03    1.307813e-05
           9    3.258304e-03    3.271018e-03    1.172116e-05
          10    3.297511e-03    3.273667e-03    1.084433e-05
          11    3.231042e-03    3.269792e-03    1.052806e-05
          12    3.258316e-03    3.268836e-03    9.694062e-06
          13    3.237306e-03    3.266410e-03    9.246781e-06
          14    3.231711e-03    3.263932e-03    8.912279e-06
          15    3.239809e-03    3.262324e-03    8.461972e-06
          16    3.264489e-03    3.262459e-03    7.934181e-06
          17    3.325958e-03    3.266194e-03    8.300252e-06
          18    3.341378e-03    3.270371e-03    8.827742e-06
          19    3.310530e-03    3.272485e-03    8.612447e-06
          20    3.229058e-03    3.270313e-03    8.451103e-06
          21    3.254473e-03    3.269559e-03    8.082261e-06
          22    3.286443e-03    3.270327e-03    7.751236e-06
          23    3.214952e-03    3.267919e-03    7.779153e-06
          24    3.237398e-03    3.266647e-03    7.558254e-06
          25    3.227049e-03    3.265063e-03    7.420032e-06
