#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    4.116800e-02    4.116800e-02    0.000000e+00
           2    3.296400e-02    3.706600e-02    2.900552e-03
           3    3.714400e-02    3.709200e-02    1.933818e-03
           4    3.669200e-02    3.699200e-02    1.452947e-03
           5    3.362600e-02    3.631880e-02    1.309058e-03
           6    4.341400e-02    3.750133e-02    1.534713e-03
           7    3.706000e-02    3.743829e-02    1.316763e-03
           8    3.910800e-02    3.764700e-02    1.168591e-03
           9    3.358800e-02    3.719600e-02    1.122407e-03
          10    2.622600e-02    3.609900e-02    1.450346e-03
          11    3.487400e-02    3.598764e-02    1.322765e-03
          12    3.003800e-02    3.549183e-02    1.302143e-03
          13    4.048400e-02    3.587585e-02    1.257328e-03
          14    3.662000e-02    3.592900e-02    1.168642e-03
          15    3.950800e-02    3.616760e-02    1.114824e-03
          16    3.939000e-02    3.636900e-02    1.063184e-03
          17    4.041600e-02    3.660706e-02    1.026950e-03
          18    3.613800e-02    3.658100e-02    9.702275e-04
          19    3.829200e-02    3.667105e-02    9.233326e-04
          20    2.846000e-02    3.626050e-02    9.641296e-04
          21    4.038000e-02    3.645667e-02    9.379629e-04
          22    3.307800e-02    3.630309e-02    9.078139e-04
          23    3.262200e-02    3.614304e-02    8.823391e-04
          24    4.018400e-02    3.631142e-02    8.614902e-04
          25    3.603000e-02    3.630016e-02    8.271042e-04
          26    3.080400e-02    3.608877e-02    8.218622e-04
          27    3.368200e-02    3.599963e-02    7.962422e-04
          28    3.841000e-02    3.608571e-02    7.724445e-04
          29    3.863600e-02    3.617366e-02    7.507977e-04
          30    3.730600e-02    3.621140e-02    7.267192e-04
