#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.836001e-03    4.836001e-03    0.000000e+00
           2    4.816459e-03    4.826230e-03    6.909162e-06
           3    4.854672e-03    4.835711e-03    9.007671e-06
           4    4.785910e-03    4.823261e-03    1.272382e-05
           5    4.789398e-03    4.816488e-03    1.184515e-05
           6    4.829426e-03    4.818644e-03    1.006532e-05
           7    4.803124e-03    4.816427e-03    8.868242e-06
           8    4.839956e-03    4.819368e-03    8.232961e-06
           9    4.786270e-03    4.815691e-03    8.098016e-06
          10    4.828439e-03    4.816966e-03    7.387875e-06
          11    4.750331e-03    4.810908e-03    8.858208e-06
          12    4.814168e-03    4.811179e-03    8.124189e-06
          13    4.867887e-03    4.815542e-03    8.590884e-06
          14    4.840531e-03    4.817327e-03    8.160572e-06
          15    4.729940e-03    4.811501e-03    9.470402e-06
          16    4.815728e-03    4.811765e-03    8.882186e-06
          17    4.800227e-03    4.811086e-03    8.385596e-06
          18    4.708803e-03    4.805404e-03    9.654944e-06
          19    4.809199e-03    4.805604e-03    9.148855e-06
          20    4.775066e-03    4.804077e-03    8.817908e-06
          21    4.846971e-03    4.806119e-03    8.631334e-06
          22    4.884119e-03    4.809665e-03    8.937557e-06
          23    4.695598e-03    4.804705e-03    9.829100e-06
          24    4.824162e-03    4.805516e-03    9.452927e-06
          25    4.847684e-03    4.807203e-03    9.224068e-06
          26    4.879228e-03    4.809973e-03    9.275957e-06
          27    4.779615e-03    4.808849e-03    9.000290e-06
          28    4.712275e-03    4.805399e-03    9.316310e-06
          29    4.830988e-03    4.806282e-03    9.036745e-06
          30    5.002200e-03    4.812812e-03    1.084142e-05
