#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.000000e+00    1.000000e+00    0.000000e+00
           2    1.000000e+00    1.000000e+00    0.000000e+00
           3    1.000000e+00    1.000000e+00    0.000000e+00
           4    1.000000e+00    1.000000e+00    0.000000e+00
           5    1.000000e+00    1.000000e+00    0.000000e+00
           6    1.000000e+00    1.000000e+00    0.000000e+00
           7    1.000000e+00    1.000000e+00    0.000000e+00
           8    9.996660e-01    9.999582e-01    3.905355e-05
           9    9.999980e-01    9.999627e-01    3.496312e-05
          10    1.000000e+00    9.999664e-01    3.166550e-05
          11    1.000000e+00    9.999695e-01    2.893377e-05
          12    1.000000e+00    9.999720e-01    2.663436e-05
          13    1.000000e+00    9.999742e-01    2.467249e-05
          14    1.000000e+00    9.999760e-01    2.297914e-05
          15    1.000000e+00    9.999776e-01    2.150283e-05
          16    1.000000e+00    9.999790e-01    2.020442e-05
          17    1.000000e+00    9.999802e-01    1.905365e-05
          18    1.000000e+00    9.999813e-01    1.802673e-05
          19    1.000000e+00    9.999823e-01    1.710470e-05
          20    1.000000e+00    9.999832e-01    1.627231e-05
          21    9.999980e-01    9.999839e-01    1.551269e-05
          22    1.000000e+00    9.999846e-01    1.482481e-05
          23    1.000000e+00    9.999853e-01    1.419529e-05
          24    1.000000e+00    9.999859e-01    1.361702e-05
          25    1.000000e+00    9.999865e-01    1.308399e-05
          26    1.000000e+00    9.999870e-01    1.259109e-05
          27    1.000000e+00    9.999875e-01    1.213395e-05
          28    1.000000e+00    9.999879e-01    1.170883e-05
          29    1.000000e+00    9.999883e-01    1.131248e-05
          30    1.000000e+00    9.999887e-01    1.094206e-05
