#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    8.798000e-03    8.798000e-03    0.000000e+00
           2    5.432000e-03    7.115000e-03    1.190061e-03
           3   -3.440000e-03    3.596667e-03    2.980250e-03
           4   -3.636000e-03    1.788500e-03    2.729132e-03
           5   -4.526000e-03    5.256000e-04    2.458202e-03
           6    2.060000e-03    7.813333e-04    2.061761e-03
           7    2.744000e-03    1.061714e-03    1.786187e-03
           8    3.420000e-03    1.356500e-03    1.587052e-03
           9    1.184200e-02    2.521556e-03    1.787917e-03
          10    3.046000e-03    2.574000e-03    1.609895e-03
          11    7.752000e-03    3.044727e-03    1.530814e-03
          12   -1.473800e-02    1.562833e-03    1.995522e-03
          13    1.958000e-03    1.593231e-03    1.842252e-03
          14    2.390000e-03    1.650143e-03    1.711541e-03
          15    1.460000e-03    1.637467e-03    1.597485e-03
          16    2.336000e-03    1.681125e-03    1.498239e-03
          17    2.808000e-03    1.747412e-03    1.411573e-03
          18    7.912000e-03    2.089889e-03    1.374070e-03
          19    1.342000e-03    2.050526e-03    1.302315e-03
          20   -5.896000e-03    1.653200e-03    1.296393e-03
          21   -3.448000e-03    1.410286e-03    1.257213e-03
          22    6.830000e-03    1.656636e-03    1.223965e-03
          23   -2.654000e-03    1.469217e-03    1.185011e-03
          24    6.484000e-03    1.678167e-03    1.153911e-03
          25   -1.117000e-02    1.164240e-03    1.216830e-03
