#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    2.556909e+00    2.556909e+00    0.000000e+00
           2    2.434016e+00    2.495463e+00    4.344935e-02
           3    2.520779e+00    2.503901e+00    2.977443e-02
           4    2.539712e+00    2.512854e+00    2.363850e-02
           5    2.511997e+00    2.512683e+00    1.891142e-02
           6    2.600965e+00    2.527396e+00    2.070688e-02
           7    2.549008e+00    2.530484e+00    1.797744e-02
           8    2.528992e+00    2.530297e+00    1.573123e-02
           9    2.448365e+00    2.521194e+00    1.640730e-02
          10    2.590568e+00    2.528131e+00    1.616684e-02
          11    2.476901e+00    2.523474e+00    1.535330e-02
          12    2.535219e+00    2.524453e+00    1.410502e-02
          13    2.493667e+00    2.522085e+00    1.321732e-02
          14    2.518019e+00    2.521794e+00    1.227642e-02
          15    2.512981e+00    2.521207e+00    1.147204e-02
          16    2.503685e+00    2.520112e+00    1.080718e-02
          17    2.514688e+00    2.519792e+00    1.017617e-02
          18    2.616203e+00    2.525149e+00    1.092988e-02
          19    2.588136e+00    2.528464e+00    1.084573e-02
          20    2.532773e+00    2.528679e+00    1.030558e-02
          21    2.468736e+00    2.525825e+00    1.020250e-02
          22    2.512648e+00    2.525226e+00    9.756310e-03
          23    2.548077e+00    2.526219e+00    9.382576e-03
          24    2.590123e+00    2.528882e+00    9.361824e-03
          25    2.479992e+00    2.526926e+00    9.189334e-03
