#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -7.616400e-01   -7.616400e-01    0.000000e+00
           2   -7.610640e-01   -7.613520e-01    2.036468e-04
           3   -7.619600e-01   -7.615547e-01    2.140433e-04
           4   -7.636240e-01   -7.620720e-01    4.759160e-04
           5   -7.645960e-01   -7.625768e-01    5.906064e-04
           6   -7.631920e-01   -7.626793e-01    5.009932e-04
           7   -7.615400e-01   -7.625166e-01    4.550943e-04
           8   -7.588760e-01   -7.620615e-01    5.829005e-04
           9   -7.599560e-01   -7.618276e-01    5.631265e-04
          10   -7.628920e-01   -7.619340e-01    5.167762e-04
          11   -7.612840e-01   -7.618749e-01    4.731629e-04
          12   -7.626880e-01   -7.619427e-01    4.385573e-04
          13   -7.628480e-01   -7.620123e-01    4.103142e-04
          14   -7.605520e-01   -7.619080e-01    3.940413e-04
          15   -7.650600e-01   -7.621181e-01    4.200815e-04
          16   -7.642160e-01   -7.622493e-01    4.137830e-04
          17   -7.605560e-01   -7.621496e-01    4.012516e-04
          18   -7.609440e-01   -7.620827e-01    3.845097e-04
          19   -7.630000e-01   -7.621309e-01    3.672910e-04
          20   -7.616560e-01   -7.621072e-01    3.496933e-04
          21   -7.626120e-01   -7.621312e-01    3.338664e-04
          22   -7.631600e-01   -7.621780e-01    3.219488e-04
          23   -7.596200e-01   -7.620668e-01    3.265966e-04
          24   -7.607200e-01   -7.620107e-01    3.177728e-04
          25   -7.646480e-01   -7.621162e-01    3.220969e-04
