#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -5.576000e-03   -5.576000e-03    0.000000e+00
           2   -1.258400e-02   -9.080000e-03    2.477702e-03
           3   -5.464000e-03   -7.874667e-03    1.922759e-03
           4    2.839000e-02    1.191500e-03    7.982863e-03
           5    1.920000e-03    1.337200e-03    6.387620e-03
           6    5.736000e-03    2.070333e-03    5.364924e-03
           7   -7.064000e-03    7.654286e-04    4.754554e-03
           8   -1.076200e-02   -6.755000e-04    4.373133e-03
           9    8.214000e-03    3.122222e-04    3.997217e-03
          10    1.324000e-03    4.134000e-04    3.598776e-03
          11   -1.101000e-02   -6.250909e-04    3.418170e-03
          12    4.302000e-03   -2.145000e-04    3.157886e-03
          13   -8.926000e-03   -8.846154e-04    2.985225e-03
          14   -1.207600e-02   -1.684000e-03    2.877035e-03
          15    1.340800e-02   -6.778667e-04    2.855747e-03
          16    3.492000e-03   -4.172500e-04    2.689128e-03
          17   -3.060000e-04   -4.107059e-04    2.530952e-03
          18    1.029800e-02    1.842222e-04    2.459272e-03
          19   -1.312600e-02   -5.163158e-04    2.427563e-03
          20    7.956000e-03   -9.270000e-05    2.342855e-03
          21   -1.353600e-02   -7.328571e-04    2.317098e-03
          22   -2.880400e-02   -2.008818e-03    2.538902e-03
          23    4.142000e-03   -1.741391e-03    2.442559e-03
          24    3.942000e-03   -1.504583e-03    2.352237e-03
          25    7.120000e-03   -1.159600e-03    2.283305e-03
