epoch loss val_loss acc val_acc
1 0.4130547344684601 0.171676903963089 0.8794999718666077 0.9496999979019165
2 0.19824345409870148 0.12651397287845612 0.944599986076355 0.9617999792098999
3 0.14434877038002014 0.09944465011358261 0.9598166942596436 0.9684000015258789
4 0.11463603377342224 0.0897214412689209 0.9675999879837036 0.9717000126838684
5 0.09452910721302032 0.07960701733827591 0.9728666543960571 0.9742000102996826
6 0.08329246938228607 0.07270865142345428 0.9760666489601135 0.9778000116348267
7 0.07032377272844315 0.07042908668518066 0.979283332824707 0.9778000116348267
8 0.061453159898519516 0.06632286310195923 0.982450008392334 0.9790999889373779
9 0.05498509854078293 0.06350933760404587 0.9835500121116638 0.9800999760627747
10 0.04791703447699547 0.06445587426424026 0.9859833121299744 0.9804999828338623
11 0.04336144030094147 0.06197322905063629 0.9875666499137878 0.9819999933242798
12 0.0382222943007946 0.059783726930618286 0.9888499975204468 0.9822999835014343
13 0.03446851670742035 0.059903938323259354 0.9900166392326355 0.9824000000953674
14 0.03047703206539154 0.06193999573588371 0.9910500049591064 0.98089998960495
15 0.028781231492757797 0.05865254998207092 0.9915000200271606 0.9833999872207642
16 0.026118328794836998 0.05987456813454628 0.9926000237464905 0.982699990272522
17 0.022415488958358765 0.06095709279179573 0.9936666488647461 0.9818999767303467
18 0.020399436354637146 0.06188064068555832 0.9943833351135254 0.982200026512146
19 0.01859721541404724 0.05936681479215622 0.9951666593551636 0.9830999970436096
20 0.017635710537433624 0.06425905227661133 0.9950166940689087 0.9817000031471252
21 0.01577872782945633 0.0641007348895073 0.9955166578292847 0.9822999835014343
22 0.014169510453939438 0.06471789628267288 0.9958333373069763 0.9836000204086304
23 0.013348748907446861 0.06250696629285812 0.996233344078064 0.9825000166893005
24 0.012250344268977642 0.06606247276067734 0.9965833425521851 0.9829999804496765
25 0.011054404079914093 0.06697715818881989 0.9969666600227356 0.9830999970436096
26 0.009996691718697548 0.06956163048744202 0.9970499873161316 0.9825999736785889
27 0.009930850937962532 0.0649317279458046 0.997083306312561 0.983299970626831
28 0.0083639957010746 0.07040288299322128 0.9979333281517029 0.9829000234603882
29 0.008605634793639183 0.06759830564260483 0.9975666403770447 0.9828000068664551
30 0.007617646362632513 0.0694148987531662 0.9980166554450989 0.9836000204086304
31 0.007341252639889717 0.06967587023973465 0.9980666637420654 0.9835000038146973
32 0.006283493712544441 0.07086831331253052 0.9984166622161865 0.9837999939918518
33 0.005923631135374308 0.07472499459981918 0.9985833168029785 0.9822999835014343
34 0.006006092298775911 0.07251761108636856 0.9984333515167236 0.9830999970436096
35 0.00521916663274169 0.07332193851470947 0.9987166523933411 0.9832000136375427
36 0.005234322044998407 0.07099366933107376 0.9986000061035156 0.9843999743461609
37 0.004960019141435623 0.07597920298576355 0.9985499978065491 0.9846000075340271
38 0.004854187369346619 0.07473653554916382 0.9987000226974487 0.9836999773979187
39 0.004311996046453714 0.07497139275074005 0.9988666772842407 0.984000027179718
40 0.004243460018187761 0.0760209783911705 0.9988333582878113 0.9837999939918518
41 0.004013167228549719 0.07721754908561707 0.9989833235740662 0.9842000007629395
42 0.0036052206996828318 0.0810777097940445 0.9990666508674622 0.9836000204086304
43 0.003230599919334054 0.08290176838636398 0.9991999864578247 0.9837999939918518
44 0.003336999099701643 0.07905968278646469 0.9991666674613953 0.9847000241279602
45 0.0030763891991227865 0.07849172502756119 0.9991999864578247 0.9843999743461609
46 0.0030805401038378477 0.08102117478847504 0.9993500113487244 0.9836999773979187
47 0.0029216953553259373 0.0831027403473854 0.9993333220481873 0.9832000136375427
48 0.002634659642353654 0.08448749035596848 0.9993000030517578 0.984499990940094
49 0.0026632605586200953 0.08540013432502747 0.9993500113487244 0.9839000105857849
50 0.0025624800473451614 0.0836726501584053 0.9993166923522949 0.9850999712944031
