epoch loss val_loss acc val_acc
1 0.2772764265537262 0.11360696703195572 0.9198833107948303 0.963699996471405
2 0.1207781657576561 0.08325736969709396 0.9652666449546814 0.9739000201225281
3 0.08774761110544205 0.09140291810035706 0.9738166928291321 0.9728000164031982
4 0.06671465933322906 0.0897088348865509 0.9802333116531372 0.9763000011444092
5 0.054491523653268814 0.07989358901977539 0.9828166961669922 0.9794999957084656
6 0.04691031202673912 0.09343937784433365 0.9855499863624573 0.9769999980926514
7 0.03894054889678955 0.09171787649393082 0.9880666732788086 0.9778000116348267
8 0.03565989062190056 0.09086576104164124 0.9889333248138428 0.9815000295639038
9 0.03161380812525749 0.11931724846363068 0.989983320236206 0.9750000238418579
10 0.02851373516023159 0.09824765473604202 0.9910666942596436 0.9799000024795532
11 0.02661384642124176 0.09846992790699005 0.9916666746139526 0.9805999994277954
12 0.024608412757515907 0.10621092468500137 0.9922000169754028 0.9810000061988831
13 0.022608604282140732 0.10489040613174438 0.992816686630249 0.982200026512146
14 0.022175801917910576 0.10970767587423325 0.992983341217041 0.9819999933242798
15 0.021676581352949142 0.09963562339544296 0.9936500191688538 0.9812999963760376
16 0.021190442144870758 0.11927579343318939 0.993399977684021 0.9821000099182129
17 0.02127714641392231 0.11822109669446945 0.9936833381652832 0.9811000227928162
18 0.014574643224477768 0.10697552561759949 0.9952666759490967 0.9837999939918518
19 0.017603470012545586 0.1417691558599472 0.9947500228881836 0.9801999926567078
20 0.016570597887039185 0.1345704048871994 0.9948833584785461 0.9787999987602234
21 0.015497494488954544 0.14931631088256836 0.995283305644989 0.9815000295639038
22 0.01749364286661148 0.12333426624536514 0.9950833320617676 0.9836999773979187
23 0.016504598781466484 0.1468607634305954 0.9950833320617676 0.9819999933242798
24 0.0145331472158432 0.1389075368642807 0.9959499835968018 0.9832000136375427
25 0.015290161594748497 0.15062503516674042 0.9956499934196472 0.9815999865531921
26 0.014026351273059845 0.1531183421611786 0.9957333207130432 0.9800999760627747
27 0.015031694434583187 0.15266579389572144 0.9958999752998352 0.9801999926567078
28 0.015675416216254234 0.1352018415927887 0.9956666827201843 0.9811999797821045
29 0.013212247751653194 0.13920491933822632 0.9965833425521851 0.9805999994277954
30 0.013024244457483292 0.1858682781457901 0.9961166381835938 0.9800000190734863
31 0.01488301157951355 0.16907896101474762 0.9961166381835938 0.9815000295639038
32 0.013767663389444351 0.15513965487480164 0.9962999820709229 0.9822999835014343
33 0.012314115650951862 0.15852642059326172 0.996666669845581 0.9825000166893005
34 0.014792043715715408 0.18696048855781555 0.9963499903678894 0.9815000295639038
35 0.013018989935517311 0.17442351579666138 0.9966833591461182 0.9818000197410583
36 0.010198541916906834 0.17704661190509796 0.9972000122070312 0.9817000031471252
37 0.014400316402316093 0.18497976660728455 0.9962999820709229 0.9822999835014343
38 0.009860551916062832 0.1704605519771576 0.9973000288009644 0.9811000227928162
39 0.010597077198326588 0.19336649775505066 0.9970666766166687 0.9807000160217285
40 0.01281174086034298 0.18537423014640808 0.9965333342552185 0.9807999730110168
41 0.01253580767661333 0.18670272827148438 0.9968000054359436 0.98089998960495
42 0.010352916084229946 0.18426519632339478 0.9974333047866821 0.9814000129699707
43 0.011339694261550903 0.20263062417507172 0.9970499873161316 0.9825999736785889
44 0.013419668190181255 0.19264505803585052 0.996833324432373 0.9818000197410583
45 0.008663097396492958 0.22536161541938782 0.9976833462715149 0.9804999828338623
46 0.011673114262521267 0.21717333793640137 0.9971833229064941 0.9829999804496765
47 0.012813467532396317 0.2002905309200287 0.9968000054359436 0.9833999872207642
48 0.00924596842378378 0.25369971990585327 0.9975000023841858 0.9800999760627747
49 0.009252607822418213 0.21544182300567627 0.9977166652679443 0.9825999736785889
50 0.010290744714438915 0.23712807893753052 0.9973833560943604 0.9807999730110168
