#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.375738e+00    1.375738e+00    0.000000e+00
           2    1.354774e+00    1.365256e+00    7.411893e-03
           3    1.375626e+00    1.368713e+00    5.690498e-03
           4    1.340084e+00    1.361556e+00    7.525525e-03
           5    1.331876e+00    1.355620e+00    8.027041e-03
           6    1.352164e+00    1.355044e+00    6.709830e-03
           7    1.363342e+00    1.356229e+00    5.855070e-03
           8    1.364406e+00    1.357251e+00    5.211636e-03
           9    1.393864e+00    1.361319e+00    6.014246e-03
          10    1.357554e+00    1.360943e+00    5.424595e-03
          11    1.364342e+00    1.361252e+00    4.940244e-03
          12    1.382302e+00    1.363006e+00    4.829964e-03
          13    1.328852e+00    1.360379e+00    5.123376e-03
          14    1.374432e+00    1.361383e+00    4.854760e-03
          15    1.355686e+00    1.361003e+00    4.545939e-03
          16    1.380950e+00    1.362250e+00    4.429471e-03
          17    1.374976e+00    1.362998e+00    4.231702e-03
          18    1.412978e+00    1.365775e+00    4.822280e-03
          19    1.341794e+00    1.364513e+00    4.730766e-03
          20    1.363098e+00    1.364442e+00    4.494756e-03
          21    1.340280e+00    1.363291e+00    4.425532e-03
          22    1.349060e+00    1.362644e+00    4.271387e-03
          23    1.410136e+00    1.364709e+00    4.557517e-03
          24    1.366096e+00    1.364767e+00    4.367987e-03
          25    1.395750e+00    1.366006e+00    4.365543e-03
          26    1.395746e+00    1.367150e+00    4.344903e-03
          27    1.408454e+00    1.368680e+00    4.445134e-03
          28    1.383148e+00    1.369197e+00    4.316307e-03
          29    1.396404e+00    1.370135e+00    4.268212e-03
          30    1.394596e+00    1.370950e+00    4.203098e-03
