#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    3.306533e-03    3.306533e-03    0.000000e+00
           2    3.309562e-03    3.308047e-03    1.070882e-06
           3    3.241038e-03    3.285711e-03    1.825150e-05
           4    3.220385e-03    3.269380e-03    1.968286e-05
           5    3.242646e-03    3.264033e-03    1.645646e-05
           6    3.237046e-03    3.259535e-03    1.431519e-05
           7    3.228724e-03    3.255134e-03    1.292916e-05
           8    3.321255e-03    3.263399e-03    1.370252e-05
           9    3.256573e-03    3.262640e-03    1.220099e-05
          10    3.306456e-03    3.267022e-03    1.174129e-05
          11    3.223173e-03    3.263036e-03    1.133040e-05
          12    3.231062e-03    3.260371e-03    1.069490e-05
          13    3.282832e-03    3.262099e-03    1.001081e-05
          14    3.267634e-03    3.262494e-03    9.303555e-06
          15    3.223208e-03    3.259875e-03    9.044454e-06
          16    3.246911e-03    3.259065e-03    8.515392e-06
          17    3.196789e-03    3.255402e-03    8.767115e-06
          18    3.226657e-03    3.253805e-03    8.424239e-06
          19    3.266802e-03    3.254489e-03    8.008582e-06
          20    3.287455e-03    3.256137e-03    7.775934e-06
          21    3.264995e-03    3.256559e-03    7.417083e-06
          22    3.260710e-03    3.256748e-03    7.082342e-06
          23    3.221004e-03    3.255194e-03    6.942826e-06
          24    3.292362e-03    3.256742e-03    6.824085e-06
          25    3.279768e-03    3.257663e-03    6.612982e-06
