#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.086782e+00    1.086782e+00    0.000000e+00
           2    1.059028e+00    1.072905e+00    9.812757e-03
           3    1.082844e+00    1.076218e+00    7.079108e-03
           4    1.048576e+00    1.069308e+00    8.000340e-03
           5    1.086997e+00    1.072846e+00    7.139831e-03
           6    1.088780e+00    1.075501e+00    6.424846e-03
           7    1.097842e+00    1.078693e+00    6.249616e-03
           8    1.071191e+00    1.077755e+00    5.538317e-03
           9    1.061335e+00    1.075931e+00    5.214803e-03
          10    1.082256e+00    1.076563e+00    4.731529e-03
          11    1.073872e+00    1.076319e+00    4.307711e-03
          12    1.102382e+00    1.078491e+00    4.462830e-03
          13    1.089831e+00    1.079363e+00    4.203931e-03
          14    1.064014e+00    1.078267e+00    4.044079e-03
          15    1.098020e+00    1.079583e+00    3.983112e-03
          16    1.099108e+00    1.080804e+00    3.916628e-03
          17    1.088994e+00    1.081285e+00    3.715751e-03
          18    1.091628e+00    1.081860e+00    3.553472e-03
          19    1.087636e+00    1.082164e+00    3.379423e-03
          20    1.089652e+00    1.082538e+00    3.231123e-03
          21    1.079819e+00    1.082409e+00    3.079854e-03
          22    1.078866e+00    1.082248e+00    2.944069e-03
          23    1.092480e+00    1.082693e+00    2.849480e-03
          24    1.096629e+00    1.083273e+00    2.789293e-03
          25    1.079755e+00    1.083133e+00    2.681270e-03
