Gen:	<L_2>
0	509.759
1	452.241
2	416.608
3	391.295
4	374.4
5	357.371
6	343.241
7	330.29
8	319.939
9	310.25
10	302.489
11	295.282
12	287.445
13	276.974
14	268.149
15	261.909
16	254.311
17	246.803
18	242.389
19	237.635
20	232.874
21	227.574
22	222.446
23	218.627
24	213.608
25	208.456
26	204.625
27	200.043
28	196.74
29	193.177
30	189.552
31	187.325
32	186.064
33	184.323
34	180.816
35	177.165
36	174.479
37	172.003
38	168.796
39	166.082
40	164.26
41	162.224
42	159.608
43	158.528
44	157.367
45	155.007
46	152.183
47	150.014
48	147.897
49	146.656
50	146.357
51	145.832
52	143.683
53	142.02
54	141.297
55	139.892
56	138.146
57	135.721
58	133.79
59	132.879
60	131.919
61	129.538
62	127.514
63	126.034
64	124.65
65	123.722
66	121.776
67	119.489
68	117.672
69	115.926
70	114.531
71	113.362
72	113.316
73	113.381
74	112.35
75	111.092
76	111.052
77	109.987
78	109.118
79	108.873
80	108.536
81	108.592
82	108.532
83	107.073
84	105.253
85	104.123
86	103.152
87	102.396
88	101.875
89	101.521
90	100.626
91	98.6762
92	97.2654
93	95.9984
94	95.3193
95	95.3463
96	95.5484
97	95.2149
98	94.2425
99	93.7616
100	93.2065
101	92.3362
102	92.0343
103	91.9378
104	91.2137
105	90.8966
106	90.1573
107	89.944
108	89.2371
109	88.5277
110	88.223
111	88.4108
112	87.9786
113	87.4411
114	86.7796
115	86.3886
116	85.5309
117	84.7706
118	84.4236
119	84.4608
120	83.9525
121	83.2565
122	82.8621
123	83.0242
124	82.6591
125	82.5849
126	82.3509
127	82.0821
128	81.4536
129	80.5332
130	80.1742
131	79.8002
132	78.9834
133	78.3841
134	77.7304
135	77.6813
136	77.7305
137	77.417
138	77.6285
139	77.9315
140	77.4428
141	77.0566
142	76.4889
143	76.6401
144	76.3032
145	76.097
146	75.7029
147	75.7484
148	75.5224
149	75.2051
150	74.5978
151	74.0537
152	73.9563
153	73.956
154	73.8003
155	73.698
156	73.6455
157	73.5837
158	73.3305
159	73.1701
160	73.0422
161	73.1657
162	73.0623
163	73.064
164	72.9118
165	72.9616
166	72.8921
167	72.8623
168	72.8398
169	72.7229
170	72.8201
171	72.7906
172	72.733
173	72.6522
174	72.581
175	72.4804
176	72.655
177	72.7141
178	72.6184
179	72.8236
180	72.7563
181	72.6168
182	72.5605
183	72.2076
184	72.5313
185	72.8256
186	74.0286
187	75.279
188	75.1272
189	73.6375
190	73.1554
191	72.8779
192	72.5151
193	72.5664
194	72.4515
195	72.6226
196	72.3867
197	72.6412
198	72.3635
199	72.3948
200	72.1611
201	72.5705
202	72.5753
203	72.2333
204	72.4922
205	72.5356
206	72.1912
207	72.1246
208	72.2009
209	72.2911
210	72.4793
211	72.2939
212	72.5241
213	72.3423
214	72.5419
215	72.4295
216	72.2756
217	72.0217
218	72.4811
219	72.2779
220	72.2552
221	72.1301
222	72.2232
223	72.2342
224	72.4602
225	72.4617
226	72.58
227	72.3259
228	72.231
229	72.2072
230	71.9844
231	72.1098
232	72.1403
233	71.9053
234	71.9264
235	72.1219
236	71.7807
237	72.0619
238	71.8092
239	71.821
240	71.8541
241	71.8518
242	71.9757
243	72.33
244	72.0664
245	71.7232
246	71.7777
247	71.6286
248	71.4047
249	71.7954
250	71.6304
251	71.9673
252	71.8972
253	71.8918
254	71.9702
255	71.9313
256	72.0021
257	71.9554
258	71.9241
259	71.7422
260	71.5528
261	71.7266
262	71.7468
263	71.6376
264	71.6148
265	71.93
266	71.6594
267	71.6185
268	71.6241
269	71.4115
270	71.8211
271	71.9731
272	71.9565
273	71.6712
274	71.7943
275	72.0115
