Gen:	<L_2>
0	510.053
1	457.877
2	428.313
3	402.217
4	383.608
5	369.672
6	358.009
7	345.679
8	335.91
9	324.781
10	312.385
11	303.269
12	294.883
13	283.507
14	275.686
15	269.614
16	264.992
17	262.322
18	258.611
19	253.292
20	247.572
21	242.318
22	236.21
23	231.429
24	228.025
25	225.686
26	221.704
27	216.547
28	210.499
29	206.362
30	201.688
31	196.976
32	192.673
33	186.823
34	181.766
35	177.89
36	174.587
37	171.425
38	168.504
39	165.699
40	163.21
41	160.267
42	157.528
43	155.203
44	153.019
45	151.247
46	149.343
47	147.581
48	146.61
49	145.791
50	144.027
51	142.798
52	142.332
53	141.774
54	139.905
55	137.853
56	136.242
57	134.455
58	131.769
59	129.031
60	127.347
61	125.951
62	125.206
63	124.152
64	123.365
65	123.05
66	122.793
67	122.06
68	121.237
69	120.756
70	119.894
71	119.633
72	119.467
73	118.756
74	117.427
75	115.484
76	114.468
77	113.883
78	112.882
79	112.064
80	110.796
81	109.389
82	108.557
83	108.156
84	107.64
85	107.061
86	106.667
87	106.158
88	105.615
89	105.162
90	104.603
91	103.897
92	103.869
93	103.551
94	103.454
95	103.848
96	103.626
97	102.515
98	101.584
99	100.402
100	99.6719
101	99.1076
102	98.0133
103	97.5813
104	96.8495
105	96.4418
106	95.8679
107	95.2098
108	94.8706
109	94.5341
110	94.0016
111	93.3564
112	93.0261
113	93.819
114	94.6776
115	93.722
116	93.0963
117	92.531
118	91.9164
119	91.2328
120	90.8316
121	90.4064
122	89.7703
123	89.6092
124	89.1023
125	88.2748
126	87.8
127	87.4382
128	87.043
129	86.8544
130	87.4892
131	88.4802
132	88.0264
133	87.0731
134	86.7321
135	86.1807
136	85.6218
137	85.3835
138	85.2533
139	85.2739
140	85.7821
141	85.6793
142	85.342
143	85.0839
144	84.1994
145	83.5992
146	83.3613
147	83.124
148	82.9761
149	83.0803
150	83.1628
151	82.3885
152	82.3218
153	82.2785
154	81.8777
155	81.6614
156	81.5772
157	81.442
158	81.0649
159	81.0996
160	81.1407
161	80.8429
162	80.8084
163	80.3729
164	80.0731
165	80.0041
166	79.8799
167	80.8149
168	81.248
169	81.2775
170	80.1449
171	79.6539
172	79.4194
173	78.9325
174	78.7035
175	78.5619
176	78.4751
177	78.5896
178	78.269
179	78.1673
180	78.0475
181	77.8678
182	77.7953
183	77.7189
184	78.0106
185	77.751
186	77.9434
187	77.9465
188	77.9047
189	77.6613
190	77.6351
191	77.2531
192	77.4354
193	77.4397
194	77.2875
195	77.3007
196	77.708
197	77.4779
198	77.4582
199	77.1465
200	77.1082
201	77.1105
202	77.1844
203	77.285
204	77.3456
205	77.1736
206	77.1586
207	77.063
208	77.0531
209	76.9962
210	76.9966
211	77.168
212	76.9859
213	77.1496
214	77.1608
215	77.3515
216	77.3394
217	77.323
218	77.1188
219	76.784
220	76.835
221	76.8937
222	76.9801
223	76.9271
224	76.7149
225	76.9566
226	76.6705
227	77.1402
228	78.2156
229	79.0798
230	78.9104
231	78.0077
232	77.5662
233	77.0339
234	76.9675
235	77.5768
236	78.3077
237	78.3397
238	78.5491
239	77.2907
240	75.5971
241	74.7189
242	74.3959
243	74.2372
244	73.9082
245	74.1286
246	74.0134
247	74.2275
248	74.2035
249	74.2018
250	74.0362
251	74.1215
252	73.8366
253	73.8256
254	73.3288
255	73.2364
256	73.4721
257	73.2087
258	73.5294
259	73.4977
260	73.5415
261	73.2324
262	73.3963
263	73.3113
264	73.358
265	73.3867
266	73.2832
267	73.2592
268	73.4888
269	73.259
270	73.1359
271	73.0855
272	73.2287
273	73.2765
274	73.008
275	73.304
276	73.2576
277	73.0375
278	73.1957
279	73.211
280	73.3008
281	73.2238
282	73.1546
283	72.9149
284	73.0206
285	73.2334
286	73.4049
287	73.3047
288	73.0999
289	73.3319
290	73.2117
291	73.3615
292	73.3619
293	73.4796
294	73.4379
295	73.3449
296	73.4337
297	73.0275
298	72.9892
299	72.88
300	73.0847
301	73.0244
302	73.2128
303	73.2192
304	73.5127
305	73.2324
306	73.0692
307	73.4089
308	72.9179
309	73.2198
310	73.1322
311	72.6647
312	72.5732
313	72.6803
314	72.7528
315	72.7835
316	72.86
317	72.7269
318	72.9633
319	72.8231
320	72.6583
321	72.3762
322	72.4687
323	72.7681
324	72.6772
325	72.8395
326	72.7116
327	72.7294
328	72.9316
329	72.8535
330	72.5055
331	72.5737
332	72.7754
333	72.7743
334	72.7041
335	72.7212
336	72.6387
337	72.5804
338	72.8828
339	72.8942
340	72.7236
341	72.8692
342	72.8635
343	72.7772
344	72.9233
345	72.5939
346	72.7829
347	72.7723
348	72.565
349	72.9007
350	72.6847
351	72.6572
352	72.5486
353	73.1275
354	72.8359
355	72.7147
356	72.7765
357	72.7139
358	72.5894
359	72.676
360	72.6166
361	72.8431
362	72.6924
363	72.6038
364	72.663
365	72.6316
366	72.597
367	72.6651
368	73.0164
369	72.8834
370	72.8759
371	72.7212
372	72.6367
373	72.82
374	72.5656
375	72.7123
376	72.5245
377	72.5368
378	72.6442
379	72.7624
380	72.7235
381	72.8056
382	72.746
383	73.021
384	73.0374
385	73.0049
386	72.8569
387	72.9471
388	72.814
389	72.684
390	72.7367
391	72.5242
392	72.7328
393	72.8981
394	72.8055
395	72.6923
396	72.4665
397	72.5384
398	72.445
399	72.449
400	72.5812
401	72.8683
402	72.7947
403	73.2195
404	72.6866
405	72.6832
