Gen:	L_2
1	401.429
2	385.564
3	370.889
4	358.603
5	342.38
6	333.847
7	323.822
8	308.765
9	298.495
10	287.865
11	279.523
12	272.062
13	269.018
14	260.231
15	252.038
16	244.126
17	236.808
18	231.379
19	227.277
20	218.177
21	214.003
22	212.807
23	206.128
24	203.631
25	199.829
26	197.166
27	195.176
28	192.07
29	188.462
30	185.378
31	182.837
32	179.476
33	175.63
34	173.576
35	173.02
36	167.472
37	166.317
38	162.373
39	159.905
40	159.001
41	157.804
42	155.409
43	153.356
44	150.96
45	149.475
46	147.983
47	146.879
48	143.487
49	141.34
50	140.427
51	139.317
52	135.224
53	133.917
54	131.858
55	129.199
56	127.817
57	125.442
58	124.671
59	123.297
60	122.543
61	121.139
62	120.659
63	120.264
64	117.937
65	117.043
66	116.09
67	115.722
68	114.196
69	113.108
70	111.794
71	111.285
72	110.316
73	109.882
74	109.366
75	109.004
76	108.416
77	107.199
78	106.298
79	105.469
80	105.051
81	104.086
82	103.29
83	102.278
84	101.899
85	100.927
86	99.6627
87	99.3243
88	98.5168
89	97.6873
90	97.6873
91	96.7165
92	96.2118
93	95.3573
94	94.713
95	94.6976
96	93.8997
97	93.8997
98	93.584
99	93.584
100	93.584
101	92.8411
102	92.3135
103	91.8921
104	91.6149
105	91.0657
106	90.5657
107	89.8948
108	89.413
109	88.8311
110	88.7153
111	88.5434
112	87.7922
113	87.4986
114	87.4907
115	86.6533
116	85.9239
117	85.9187
118	85.1894
119	84.9062
120	84.8274
121	83.9033
122	83.5414
123	83.4146
124	83.1547
125	82.8305
126	82.1472
127	82.1472
128	81.5602
129	81.5602
130	81.1736
131	80.8871
132	80.8138
133	80.3666
134	80.2932
135	80.0769
136	80.0036
137	80.0036
138	80.0036
139	79.6693
140	79.5339
141	79.0543
142	78.7046
143	77.799
144	77.5788
145	77.4927
146	77.4927
147	77.3481
148	77.3481
149	77.2894
150	77.0337
151	76.8304
152	76.5926
153	76.4208
154	76.3038
155	76.0342
156	75.8876
157	75.7706
158	75.7118
159	75.7118
160	75.6227
161	75.6227
162	75.6009
163	75.1241
164	75.0702
165	75.0702
166	74.9745
167	74.9745
168	74.9745
169	74.9745
170	74.9745
171	74.9745
172	74.9745
173	74.9745
174	74.9745
175	74.9745
176	74.9745
177	74.9745
178	74.9745
179	74.9745
180	74.9745
181	74.9745
182	74.9745
183	74.9745
184	74.9745
185	74.618
186	74.618
187	74.618
188	74.618
189	74.618
190	74.618
191	74.618
192	74.618
193	74.5958
194	74.5958
195	74.5958
196	74.5791
197	74.5791
198	74.5532
199	74.5532
200	74.5175
201	74.5175
202	74.4545
203	74.4545
204	74.4545
205	74.4545
206	74.4545
207	74.3745
208	74.3745
209	74.3745
210	74.2973
211	74.2973
212	74.2973
213	74.2973
214	74.2973
215	74.2973
216	74.2973
217	74.2973
218	74.2973
219	74.2973
220	74.2973
221	73.9698
222	73.9698
223	73.9698
224	73.9698
225	73.9698
226	73.9698
227	73.7857
228	73.7857
229	73.7857
230	73.7857
231	73.7796
232	73.7796
233	73.7796
234	73.7796
235	73.7796
236	73.2332
237	73.2332
238	73.2332
239	73.2332
240	73.2332
241	72.9479
242	72.7315
243	72.7315
244	72.4227
245	72.2782
246	72.2782
247	72.2782
248	72.2782
249	72.2782
250	72.2782
251	72.2782
252	72.2782
253	72.2782
254	72.2782
255	72.2782
256	72.2782
257	72.2782
258	72.2782
259	72.2782
260	72.2782
261	72.2782
262	72.2782
263	72.2782
264	72.2782
265	72.2782
266	72.2782
267	72.2782
268	72.2782
269	72.2782
270	72.2782
271	72.2782
272	72.2782
273	72.2782
274	72.0879
275	72.0879
276	72.0879
277	72.0879
278	72.0879
279	72.0879
280	72.0879
281	72.0879
282	72.0879
283	72.0879
284	72.0879
285	72.0879
286	72.0879
287	72.0879
288	72.0879
289	72.0879
290	72.0879
291	72.0879
292	72.0879
293	72.0879
294	72.0879
295	72.0879
296	72.0879
297	72.0485
298	72.0485
299	72.0485
300	72.0485
301	72.0485
302	72.0485
303	72.0485
304	72.0485
305	72.0485
306	72.0485
307	72.0485
308	72.0485
309	72.0485
310	72.0485
311	72.0485
312	72.0485
313	72.0485
314	72.0485
315	72.0485
316	72.0485
317	72.0485
318	72.0485
319	72.0485
320	72.0485
321	72.0485
322	72.0485
323	72.0485
324	72.0485
325	72.0485
326	72.0485
327	71.9195
328	71.9195
329	71.9195
330	71.9195
331	71.9195
332	71.9195
333	71.9195
334	71.9195
335	71.9195
336	71.9195
337	71.9195
338	71.9195
339	71.9195
340	71.9195
341	71.9195
342	71.9195
343	71.9195
344	71.9195
345	71.9195
346	71.9195
347	71.8901
348	71.8901
349	71.8901
350	71.8901
351	71.8901
352	71.8901
353	71.8901
354	71.8901
355	71.8901
356	71.806
357	71.806
358	71.5404
359	71.5404
360	71.5404
361	71.3385
362	71.3385
363	71.3385
364	71.3385
365	71.3385
366	71.3385
367	71.3385
368	71.3385
369	71.3385
370	71.326
371	71.326
372	71.326
373	71.326
374	71.326
375	71.326
376	71.326
377	71.2844
378	71.2844
379	71.2844
380	71.2844
381	71.2844
382	71.2844
383	71.2844
384	71.2844
385	71.2844
386	71.2844
387	71.2844
388	71.2844
389	71.2844
390	70.9767
391	70.9767
392	70.8797
393	70.8797
394	70.8797
395	70.8797
396	70.8797
397	70.8797
398	70.8797
399	70.8797
400	70.8797
401	70.8797
402	70.8797
403	70.8797
404	70.8797
405	70.8797
406	70.8797
407	70.8797
408	70.776
409	70.776
410	70.776
411	70.776
412	70.776
413	70.776
414	70.776
415	70.776
416	70.776
417	70.776
418	70.776
419	70.776
420	70.776
421	70.2555
422	70.2555
423	70.1098
424	70.1098
425	70.1098
426	70.1098
427	70.1098
428	70.1098
429	70.1098
430	70.1098
431	70.1098
432	70.1098
433	70.1098
434	70.1098
435	70.1098
436	70.1098
437	70.1098
438	70.1098
439	70.1098
440	70.1098
441	70.1098
442	70.1098
443	70.1098
444	70.1098
445	70.1098
446	70.1098
447	70.1098
448	70.1098
449	70.1098
450	70.1098
451	70.1098
452	70.1098
453	70.1098
454	70.1098
455	70.1098
456	70.1098
457	70.1098
458	70.1098
459	70.1098
460	70.1098
461	70.1098
462	70.1098
463	70.1098
464	70.1098
465	70.1098
466	70.1098
467	70.1098
468	70.1098
469	70.1098
470	70.1098
471	70.1098
472	70.1098
473	70.1098
474	70.1098
475	70.1098
476	70.1098
477	70.1098
478	70.1098
479	70.1098
480	70.1098
481	70.1098
482	69.7924
483	69.7727
484	69.7727
485	69.6963
486	69.6963
487	69.6963
488	69.6963
489	69.6963
490	69.6963
491	69.6963
492	69.6963
493	69.6963
494	69.6963
495	69.6963
496	69.6963
497	69.6963
498	69.6963
499	69.6963
500	69.6963
501	69.6963
502	69.6963
503	69.6963
504	69.6963
505	69.6963
506	69.6963
507	69.6963
508	69.6963
509	69.6963
510	69.6963
511	69.6963
512	69.6963
513	69.6963
514	69.6963
515	69.6963
516	69.6963
517	69.6963
518	69.6963
519	69.6963
520	69.6963
521	69.6963
522	69.6963
523	69.6963
524	69.6963
525	69.6963
526	69.6963
527	69.6963
528	69.6963
529	69.6963
530	69.6963
531	69.6963
532	69.6963
533	69.6963
534	69.6963
535	69.6963
536	69.6963
537	69.6963
538	69.6963
539	69.6963
540	69.6963
541	69.6963
542	69.6963
543	69.6963
544	69.6963
545	69.6963
546	69.6963
547	69.6963
548	69.6963
549	69.6963
550	69.6963
551	69.6963
552	69.6963
553	69.6963
554	69.6963
555	68.9031
556	68.9031
557	68.9031
558	68.9031
559	68.9031
560	68.9031
561	68.9031
562	68.9031
563	68.9031
564	68.772
565	68.772
566	68.6095
567	68.6095
568	68.6095
569	68.6095
570	68.6095
571	68.6095
572	68.6095
573	68.6095
574	68.6095
575	68.6095
576	68.6095
577	68.6095
578	68.3802
579	68.3802
580	68.2756
581	67.9686
582	67.9408
583	67.5292
584	67.5292
585	67.5292
586	67.5292
587	67.5292
588	67.5292
589	67.5292
590	67.5292
591	67.5292
592	67.5292
593	67.4737
594	67.4737
595	67.4737
596	67.4737
597	67.4737
598	67.4737
599	67.4737
600	67.4737
601	67.4737
602	67.4737
603	67.4737
604	67.4737
605	67.4737
606	67.4737
607	67.4737
608	67.4737
609	67.4737
610	67.4737
611	67.4737
612	67.4737
613	67.4737
614	67.4737
615	67.4737
616	67.4737
617	67.4737
618	67.4737
619	67.4737
620	67.4535
621	67.4535
622	67.4535
623	67.4535
624	67.4535
625	67.4535
626	67.4535
627	67.4535
628	67.4292
629	67.4292
630	67.1855
631	67.1611
632	67.1611
633	67.1611
634	67.1611
635	67.1611
636	67.1611
637	67.1611
638	67.1611
639	67.1611
640	67.1611
641	67.1611
642	67.1611
643	67.1611
644	67.1611
645	67.1611
646	67.1611
647	67.1611
648	67.1611
649	67.1611
650	67.1611
651	67.1611
652	67.1611
653	67.1611
654	67.1611
