Gen:	L_2
485	71.5658
486	71.5658
487	71.5658
488	71.5658
489	71.5658
490	71.5658
491	71.5658
492	71.4514
493	71.4514
494	71.4514
495	71.4514
496	71.0189
497	71.0189
498	71.0189
499	71.0189
500	71.0189
501	71.0189
502	71.0189
503	70.9352
504	70.9352
505	70.9352
506	70.8894
507	70.8894
508	70.8894
509	70.8894
510	70.8894
511	70.8894
512	70.8894
513	70.8894
514	70.8894
515	70.8894
516	70.8894
517	70.8894
518	70.8894
519	70.8894
520	70.8894
521	70.8894
522	70.8894
523	70.8894
524	70.8894
525	70.8894
526	70.8894
527	70.8894
528	70.8894
529	70.8894
530	70.8894
531	70.8894
532	70.8894
533	70.8894
534	70.8894
535	70.8894
536	70.8894
537	70.8894
538	70.8894
539	70.8894
540	70.8894
541	70.8894
542	70.8894
543	70.8894
544	70.8894
545	70.8894
546	70.8894
547	70.8894
548	70.8894
549	70.8894
550	70.8894
551	70.8894
552	70.8894
553	70.8894
554	70.8894
555	70.8894
556	70.8894
557	70.8894
558	70.8894
559	70.8894
560	70.8894
561	70.8894
562	70.8894
563	70.8894
564	70.8894
565	70.8894
566	70.8894
567	70.8894
568	70.8894
569	70.8894
570	70.8894
571	70.8894
572	70.8894
573	70.8894
574	70.8894
575	70.8894
576	70.8894
577	70.8894
578	70.8894
579	70.8894
580	70.8894
581	70.8894
582	70.8894
583	70.8894
584	70.8894
585	70.8894
586	70.8894
587	70.8894
588	70.8894
589	70.8894
590	70.8894
591	70.8894
592	70.8894
593	70.8894
594	70.8894
595	70.8894
596	70.8894
597	70.8894
598	70.8894
599	70.8894
600	70.8894
601	70.8894
602	70.8894
603	70.8894
604	70.8894
605	70.817
606	70.817
607	70.817
608	70.817
609	70.817
610	70.817
611	70.817
612	70.817
613	70.817
614	70.817
615	70.817
616	70.817
617	70.817
618	70.817
619	70.817
620	70.817
621	70.817
622	70.6151
623	70.6151
624	70.6151
625	70.6151
626	70.6151
627	70.6151
628	70.6151
629	70.6151
630	70.6151
631	70.6151
632	70.6151
633	70.6151
634	70.6151
635	70.6151
636	70.6151
637	70.6151
638	70.6151
639	70.6151
640	70.6151
641	70.6151
642	70.6151
643	70.6151
644	70.6151
645	70.6151
646	70.6151
647	70.6151
648	70.6151
649	70.6151
650	70.6151
651	70.6151
652	70.6151
653	70.6151
654	70.6151
655	70.6151
656	70.6151
657	70.6151
658	70.6151
659	70.6151
660	70.6151
661	70.6151
662	70.6151
663	70.6151
664	70.6151
665	70.6151
666	70.6151
667	70.6151
668	70.6151
669	70.6151
670	70.6151
671	70.6151
672	70.6151
673	70.6151
674	70.6151
675	70.6151
676	70.6151
677	70.6151
678	70.6151
679	70.6151
680	70.6151
681	70.6151
682	70.6151
683	70.6151
684	70.6151
685	70.6151
686	70.6151
687	70.6151
688	70.6151
689	70.6151
690	70.6151
691	70.6151
692	70.6151
