Gen:	<L_2>
475	72.7306
476	72.8431
477	72.7811
478	73.0336
479	72.9661
480	72.9112
481	72.5632
482	72.4164
483	72.541
484	72.427
485	72.4404
486	71.9958
487	72.3634
488	72.3041
489	72.1222
490	72.108
491	72.3181
492	72.2796
493	72.1888
494	72.1781
495	71.9157
496	72.087
497	72.2846
498	71.7955
499	71.791
500	72.0421
501	71.6274
502	71.5116
503	71.72
504	71.6318
505	71.6474
506	71.6821
507	71.445
508	71.5119
509	71.783
510	71.3879
511	71.508
512	71.2839
513	71.3483
514	71.4007
515	71.5044
516	71.5886
517	71.4978
518	71.7264
519	71.583
520	71.5367
521	71.5352
522	71.9767
523	71.8654
524	71.2171
525	71.7431
526	71.5602
527	71.6026
528	71.5062
529	71.5321
530	71.7135
531	71.745
532	71.7444
533	71.619
534	71.6555
535	71.497
536	71.4978
537	71.5315
538	71.626
539	71.5282
540	71.4773
541	71.4352
542	71.6717
543	71.4758
544	71.3328
545	71.69
546	71.7344
547	71.7981
548	71.6185
549	71.4112
550	71.5093
551	71.7475
552	72.0192
553	71.7388
554	71.51
555	71.5945
556	71.6563
557	71.4627
558	71.6954
559	71.5254
560	71.4539
561	71.5941
562	71.5398
563	71.5526
564	71.8394
565	71.5721
566	71.3274
567	71.3452
568	71.522
569	71.4897
570	71.5644
571	71.6902
572	71.6658
573	71.6523
574	71.731
575	71.5333
576	71.5726
577	71.7136
578	71.7478
579	71.4165
580	71.422
581	71.5611
582	71.6574
583	71.7747
584	71.6727
585	71.6545
586	71.6039
587	71.5365
588	71.8984
589	71.7453
590	71.6879
591	71.4302
592	71.5986
593	71.4072
594	71.4291
595	71.4093
596	71.7845
597	71.7415
598	71.662
599	71.4417
600	71.3697
601	71.4126
602	71.4356
603	71.6079
604	71.4554
605	71.6336
606	71.8114
607	71.7823
608	71.813
609	71.5244
610	71.442
611	71.6498
612	71.45
613	71.6321
614	71.3765
615	71.5776
616	71.2393
617	71.6036
618	71.6247
619	72.6283
620	74.0924
621	73.5224
622	72.7766
623	71.8957
624	71.4613
625	71.0559
626	71.297
627	71.4524
628	71.2701
629	71.2114
630	71.0173
631	71.5107
632	71.2895
633	71.321
634	71.6255
635	71.3797
636	71.3103
637	71.61
638	71.2378
639	71.5149
640	71.4653
641	71.3936
642	71.3555
643	71.2562
644	71.4762
645	71.24
646	71.5683
647	71.4487
648	71.2812
649	71.403
650	71.5721
651	71.5179
652	71.3268
653	71.1344
654	71.2666
